dataset,pct_nulls,avg_over_sim_IPM_fixed(%),avg_over_sim_IPM_retrained(%),avg_over_time_IPM_fixed(%),avg_over_time_IPM_retrained(%),avg_frac_time_IPM_fixed,avg_frac_time_IPM_retrained
imdb,5,13.437151823863623,11.900826163866146,98.01597992349554,98.47801974673254,70.08189942024741,131.83176911601635
imdb,10,12.321319991498891,12.963014195356935,96.46912132427535,97.43889807309971,38.353001559384126,76.31506724820493
imdb,20,11.897350188966342,13.622042324549188,94.30744197977911,96.021008370432,23.711523366419605,51.2253501623758
imdb,40,12.00841095285699,13.076777156551353,90.32422451227413,93.92899709094418,13.70632120911396,36.38277070495545
