dataset,seed,pct_nulls,start_index,end_index,avg_semantic_sim_SENTI,total_time_SENTI,avg_semantic_sim_IPM_70_30_fixed,total_time_IPM_70_30_fixed,avg_semantic_sim_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,Over_IPM_fixed,Over_IPM_retrained,OverTime_IPM_fixed,OverTime_IPM_retrained,FracTime_IPM_fixed,FracTime_IPM_retrained
imdb,94,5,0,1509,0.892387929492527,13.4693164825439,0.8001347184181213,87.76575174,0.8104198575019836,75.51150036099993,11.52970980396797,10.114272402356912,84.6531064617941,82.16256276441236,6.515976653584727,5.606186509824911
imdb,94,5,2718,2868,0.8913796023717,1.15890502929688,0.7642084956169128,83.97748174599995,0.7780120372772217,145.63401547300032,16.64089152164258,14.57144101410389,98.61998120781696,99.2042346525069,72.46278135228214,125.66518549096125
imdb,94,5,2869,3019,0.891988730619824,1.20250678062439,0.7806241512298584,83.61180852199998,0.7856653928756714,152.25341340899968,14.266094536597777,13.532903282781842,98.56179790644286,99.21019387762816,69.53125742757588,126.6133512610578
imdb,94,5,3020,3170,0.890400248860556,1.17787981033325,0.7613967657089233,83.38374296200006,0.8037949800491333,161.64993486499952,16.943003826857574,10.774547112265969,98.58739873206454,99.27133913705752,70.79138485140417,137.2380555697486
imdb,94,5,3171,3321,0.889544791645474,1.16490769386292,0.7668989896774292,83.66052162099997,0.8217828869819641,168.07010968700206,15.992432330577417,8.245718636508553,98.60757777827372,99.30689181078519,71.81729682252806,144.27762008307212
imdb,94,5,3322,3472,0.890511801318517,1.13722777366638,0.7628215551376343,83.18666850199999,0.8149526715278625,176.38144063599884,16.739202677334397,9.271597287851971,98.6329206420389,99.35524521765683,73.14864306717489,155.0977251174157
imdb,94,5,3473,3623,0.890887952986218,1.2682375907898,0.7920506000518799,83.119373143,0.8034699559211731,183.1850356099999,12.478666505380367,10.880057981112781,98.4741973587699,99.3076740212067,65.53927572138679,144.440629216739
imdb,94,5,3624,3774,0.886565034351652,1.19236898422241,0.7868400812149048,83.36716274899995,0.80281662940979,191.5785465999993,12.674106914173578,10.431822395536528,98.56973783813135,99.37760829415207,69.91725200179279,160.67052157091715
imdb,94,5,3775,3925,0.890401937658825,1.13625478744507,0.7691946029663086,83.761448319,0.830833375453949,198.69076067499876,15.757694376051859,7.169736311126056,98.64346329934779,99.42812902644042,73.71713566755756,174.86461915972706
imdb,94,5,3926,4076,0.886940747026413,1.21953248977661,0.7661327123641968,83.79200677900003,0.8096977472305298,205.31507896499988,15.76855193787727,9.539732580470092,98.54457180743611,99.40601903380681,68.70830214154343,168.3555630425302
imdb,94,5,4077,4227,0.888278740739066,1.16404056549072,0.7688767313957214,83.51830316599997,0.8097488880157471,214.21026652999944,15.529408612300866,9.698050085101414,98.60624495306485,99.45658974037657,71.74861911345116,184.02302538287887
imdb,94,5,1510,1660,0.896700518471854,1.19988679885864,0.7853204011917114,83.77696860799999,0.7911699414253235,84.69181239499986,14.18276121582031,13.338547323526095,98.56776054469933,98.58323164314584,69.82072699498868,70.5831687418852
imdb,94,5,4228,4378,0.893276443557134,1.20599961280823,0.7666049599647522,83.59140752699996,0.7908157110214233,221.82005061100108,16.523697367964594,12.956334972578077,98.55726844601978,99.4563162304371,69.312963817918,183.93044927641566
imdb,94,5,4379,4528,0.888506667954581,1.23233962059021,0.7679888010025024,83.549327002,0.7993607521057129,228.5169610489993,15.692659423517538,11.152150717186931,98.52501550304443,99.46072290873587,67.79732275586932,185.43342860270502
imdb,94,5,1661,1811,0.887128378663744,1.36004543304443,0.8020380735397339,83.44429591999999,0.8134928345680237,91.56047834100002,10.609260075206977,9.051775377323624,98.37011575440897,98.51459335109719,61.35405030787234,67.32163214286454
imdb,94,5,1812,1962,0.891608194699363,1.19869828224182,0.7916131615638733,83.59293100500007,0.8046804070472717,99.356322406,12.63180527948074,10.802771745253224,98.56602912730729,98.79353597917645,69.73642345483599,82.88684807338058
imdb,94,5,1963,2113,0.89555625688462,1.14263820648193,0.771977424621582,83.580269847,0.7899708151817322,107.0752123879994,16.008088879492234,13.365739553124886,98.63288523885647,98.93286393648097,73.14674878965879,93.70876256420077
imdb,94,5,2114,2264,0.891628935223534,1.18499302864075,0.780750572681427,83.65621145800004,0.7998331785202026,114.95721130399966,14.201508960960982,11.476862821965666,98.58349666093153,98.96918773933452,70.59637435501048,97.01087561321917
imdb,94,5,2265,2415,0.890342323552995,1.16343116760254,0.7770975232124329,83.48704849999997,0.7932438850402832,122.65060336500028,14.57279131098257,12.240679108138462,98.6064531103857,99.05142646209391,71.7593363705737,105.42145232170803
imdb,94,5,2416,2566,0.888195763504694,1.16059041023254,0.7912425398826599,83.30950674599994,0.8103164434432983,130.8427639350009,12.25328754902537,9.610976142907955,98.60689319194863,99.11298846391759,71.7820050997214,112.73810534828112
imdb,94,5,2567,2717,0.886535107143342,1.17043781280518,0.7596727013587952,83.82635502200004,0.7700243592262268,137.4244571939996,16.699613604336886,15.13078729537767,98.60373529005525,99.14830457641692,71.6196572811451,117.41286524624094
imdb,94,10,0,1509,0.890795268628245,20.322060585022,0.8078995943069458,80.176848871,0.8068656325340271,72.3911938329984,10.260640666914925,10.40193468528707,74.65345561569893,71.92744102010028,3.945310985348251,3.562197520774689
imdb,94,10,2718,2868,0.889654484943107,1.95523929595947,0.7839384078979492,78.64486462200017,0.7791956067085266,146.0203548399977,13.485252920395189,14.176013992324735,97.51383729203786,98.66098168429879,40.22262890507618,74.68157741190598
