dataset,pct_nulls,avg_over_sim_IPM_fixed(%),avg_over_sim_IPM_retrained(%),avg_over_time_IPM_fixed(%),avg_over_time_IPM_retrained(%),avg_frac_time_IPM_fixed,avg_frac_time_IPM_retrained
credit,5,3.1234876216017886,0.9339449607632542,98.5134626498825,98.81335739238705,120.77971402627709,237.32485946702215
credit,10,2.849847065105695,1.5147181823299842,97.76551670604275,98.20772969971607,62.138512003195196,110.13846738292504
credit,20,2.458086725418438,2.2211069059093895,96.4746346548504,97.35610175028589,39.133210956628616,75.33907795081154
credit,40,1.1068958400095565,1.0997340475693194,94.2862618218887,95.97352805457011,23.780208105049848,51.74070975658935
