dataset,seed,pct_nulls,start_index,end_index,avg_semantic_sim_SENTI,total_time_SENTI,avg_semantic_sim_IPM_70_30_fixed,total_time_IPM_70_30_fixed,avg_semantic_sim_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,Over_IPM_fixed,Over_IPM_retrained,OverTime_IPM_fixed,OverTime_IPM_retrained,FracTime_IPM_fixed,FracTime_IPM_retrained
adultsample,94,5,0,999,0.94504659043418,8.42199230194092,0.8914099335670471,69.226820785,0.892918050289154,62.99375925899997,6.017058465177925,5.837998249463675,87.83420615530305,86.63043386994298,8.219767758401547,7.479674286152283
adultsample,94,5,1800,1899,0.944655557473501,0.762097597122192,0.8791280388832092,69.15427085500002,0.8786690831184387,119.05421521500055,7.453694535045657,7.50982088966567,98.89797464755267,99.35987348642304,90.74201403617872,156.21911900072797
adultsample,94,5,1900,1999,0.955642178323534,0.775931119918823,0.9276139140129088,68.85310787099996,0.9403152465820312,125.74219152599947,3.021544188505475,1.6299780097382162,98.87306304114468,99.38291904212726,88.73610827492432,162.0532909405083
adultsample,94,5,2000,2099,0.946704879071977,0.761034727096558,0.902251362800598,69.34003680399996,0.9188917875289916,131.70500440399996,4.926954738355257,3.026808153088197,98.90245987430359,99.42216719057834,91.11284194420513,173.06043957608995
adultsample,94,5,2100,2199,0.956174669000838,0.776366233825684,0.9217824339866638,69.74439465999998,0.9264767169952391,137.94170471600114,3.731057757895156,3.2054720276096793,98.88684067356176,99.43717801992943,89.83439982483776,177.6760743911654
adultsample,94,5,2200,2299,0.949408064948188,0.773947477340698,0.9207016825675964,69.44505470099998,0.9360541105270386,145.6637676330006,3.117880951464858,1.4266220585934444,98.88552542629137,99.46867536799498,89.72838174964383,188.20885382752945
adultsample,94,5,2300,2399,0.960990880595313,0.830016374588013,0.883547842502594,68.92823385599999,0.9025477170944214,151.0927452280007,8.765007888352311,6.475354421042484,98.79582526904429,99.45065769151556,83.04442655148004,182.03586080214032
adultsample,94,5,2400,2499,0.954478183057573,0.778154134750366,0.8865331411361694,68.92498379499995,0.9063822627067566,156.4248745180007,7.664128814668576,5.306361601471123,98.87101295944474,99.50253811157073,88.57497598096201,201.02042453090897
adultsample,94,5,2500,2599,0.951167364915212,0.798496723175049,0.9053136706352234,68.715250548,0.9136255383491516,162.64940271400155,5.064951051475329,4.109104331069324,98.83796287315103,99.509068763948,86.05577024132135,203.69451494711396
adultsample,94,5,2600,2699,0.953871847523583,0.79104495048523,0.8936735391616821,69.00882937099993,0.9107730388641356,168.77100022700233,6.73605133462611,4.7321129216997635,98.85370472489473,99.53129095080241,87.23755752270418,213.35197212684
adultsample,94,5,2700,2799,0.956551498836941,0.796941995620728,0.908543586730957,69.44366367900005,0.91530442237854,175.48571031499887,5.284051619220813,4.506377927380158,98.85239062370823,99.54586501989809,87.13766379560819,220.1988492002047
adultsample,94,5,1000,1099,0.942847895622254,0.786532878875732,0.9183648228645324,68.80185591999995,0.9114966988563538,70.25767841700008,2.665941916345934,3.4395293812074477,98.85681444438028,98.88050260612452,87.47486312122787,89.32579972680382
adultsample,94,5,2800,2899,0.954392923249139,0.775514841079712,0.8759929537773132,68.84127371100004,0.9052047729492188,181.5516419449996,8.94984019377808,5.433925203427944,98.87347400872423,99.57284063488963,88.76848006564987,234.10466483431057
adultsample,94,5,2900,2999,0.959624671936035,0.815953969955444,0.9133300185203552,68.63799002600001,0.9162153601646424,188.05430098100032,5.06877606964891,4.737893912146586,98.81122106045594,99.56610725428828,84.11992900745132,230.47170294577919
adultsample,94,5,3000,3015,,0.0398836135864257,0.0,68.41348282999999,0.0,187.9582476430014,,,99.94170211493905,99.97878059936897,1715.3280928708118,4712.668455572757
adultsample,94,5,1100,1199,0.948375537660387,0.798635482788086,0.9524549841880798,68.56657236000001,0.9513200521469116,76.54058224099987,-0.4283085915257612,-0.3095188080898293,98.83524076630964,98.95658556623798,85.85465313991541,95.83919559120007
adultsample,94,5,1200,1299,0.945460947354635,0.85679030418396,0.8653485774993896,69.04398263500002,0.8597188591957092,82.39450709800002,9.257814935889451,9.973270592102622,98.75906592944766,98.96013662274247,80.58445841162987,96.16647935398349
adultsample,94,5,1300,1399,0.942232708136241,0.812922954559326,0.8852446675300598,69.29808188500004,0.9026219248771667,88.78229790200021,6.4375468948245445,4.388413594591637,98.82691853447204,99.08436369212177,85.2455715468947,109.21366828684009
adultsample,94,5,1400,1499,0.948513152864244,0.792166233062744,0.8999608755111694,68.63541078500003,0.9028602242469788,95.06811229399956,5.394932010294037,5.056478000826935,98.84583449854449,99.16673823225504,86.64268674976925,120.01030632982008
adultsample,94,5,1500,1599,0.947926731904348,0.786924362182617,0.8732722401618958,69.40528746799998,0.8876665234565735,100.7550744000007,8.548822269743972,6.788608881308401,98.86618960760671,99.21897297295568,88.19816846881848,128.0365423184332
adultsample,94,5,1600,1699,0.946652975347307,0.808972358703613,0.8813431859016418,68.92740041799993,0.9038395285606384,106.88874177599996,7.410256355343707,4.736841600062438,98.82634140588834,99.24316411133464,85.20365334664443,132.12904078365588
adultsample,94,5,1700,1799,0.952416416009267,0.784398317337036,0.8471543192863464,68.85485970900001,0.8795223236083984,113.08093613199912,12.425374495120872,8.287918389814985,98.86079454572688,99.30633903099157,87.78047860015337,144.16264496321085
adultsample,94,10,0,999,0.940678140852186,14.139720916748,0.8863624334335327,67.69531143100008,0.8897262215614319,60.40963787099827,6.127934281719127,5.726696376480362,79.11270275909695,76.59360093013193,4.787598838023555,4.272335941188569
