dataset,pct_nulls,start_index,end_index,seed,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,nulls,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
contraceptive,5,0,490,1234,22.319826506,0.961284288999977,23.281110795,192,112,0.867754697799683
contraceptive,5,491,539,1234,24.703147543,1.17971642100001,25.882863964,16,10,0.868456125259399
contraceptive,5,540,588,1234,26.0389256909999,0.897766588000081,26.936692279,16,8,0.841659784317017
contraceptive,5,589,637,1234,28.020576289,1.172744395,29.193320684,16,11,0.899348974227905
contraceptive,5,638,686,1234,30.381799145,0.458596632999956,30.840395778,16,7,0.815985679626465
contraceptive,5,687,735,1234,32.5069995760001,0.813447584999949,33.320447161,16,9,0.8481365442276
contraceptive,5,736,784,1234,34.4441472550001,0.808050261999824,35.2521975169999,16,6,0.825270295143127
contraceptive,5,785,833,1234,36.6475431849999,1.26798214899964,37.9155253339995,16,8,0.839038550853729
contraceptive,5,834,882,1234,39.092471963,1.83510074900005,40.927572712,16,9,0.88270765542984
contraceptive,5,883,931,1234,41.2022589899999,0.296888079000155,41.4991470690001,16,9,0.838620662689209
contraceptive,5,932,980,1234,43.3898783179999,0.853611357999853,44.2434896759997,16,7,0.83745539188385
contraceptive,5,981,1029,1234,45.5474466990002,1.60604393300014,47.1534906320003,16,11,0.920461595058441
contraceptive,5,1030,1078,1234,47.7088870419998,1.14795969499937,48.8568467369992,16,12,0.926483869552612
contraceptive,5,1079,1127,1234,50.0693459960003,0.436610225000095,50.5059562210004,16,13,0.962378084659576
contraceptive,5,1128,1176,1234,52.4183017110004,0.462187637999705,52.8804893490001,16,13,0.954862356185913
contraceptive,5,1177,1225,1234,53.7781656519996,1.14765411799976,54.9258197699994,16,8,0.822914481163025
contraceptive,5,1226,1274,1234,55.8981720950003,0.88686387100006,56.7850359660004,16,11,0.894131422042847
contraceptive,5,1275,1323,1234,58.0882433629995,0.945496110000249,59.0337394729997,16,13,0.954007387161255
