file,pct_nulls,start_index,end_index,nulls,exact_matches_SENTI,avg_semantic_sim_SENTI,processing_time_SENTI,faiss_time_SENTI,imputation_time_SENTI,total_time_SENTI
adultsample,5,0,999,450,326,0.946362162298626,8.53332662582398,1.74001955986023,6.79330706596375,8.53332662582398
adultsample,5,1800,1899,45,28,0.947537465890249,0.783830165863037,0.0568611621856689,0.726969003677368,0.783830165863037
adultsample,5,1900,1999,45,34,0.948182268937429,0.78250527381897,0.0572333335876464,0.725271940231323,0.78250527381897
adultsample,5,2000,2099,45,32,0.949146499898699,0.786566257476807,0.0596535205841064,0.7269127368927,0.786566257476807
adultsample,5,2100,2199,45,33,0.957451283931732,0.777146816253662,0.0541415214538574,0.723005294799805,0.777146816253662
adultsample,5,2200,2299,45,34,0.955852437019348,0.761884689331055,0.057300329208374,0.704584360122681,0.761884689331055
adultsample,5,2300,2399,45,29,0.953314108318753,0.790732622146606,0.0548598766326904,0.735872745513916,0.790732622146606
adultsample,5,2400,2499,45,31,0.953968200418684,0.759829759597778,0.056128978729248,0.70370078086853,0.759829759597778
adultsample,5,2500,2599,45,33,0.95592864089542,0.785619497299194,0.0553352832794189,0.730284214019775,0.785619497299194
adultsample,5,2600,2699,45,35,0.953166903389825,0.766343832015991,0.0552601814270019,0.711083650588989,0.766343832015991
adultsample,5,2700,2799,45,31,0.952328929636214,0.76334023475647,0.0557129383087158,0.707627296447754,0.76334023475647
adultsample,5,1000,1099,45,34,0.953177979257372,0.728632688522339,0.057300329208374,0.671332359313965,0.728632688522339
adultsample,5,2800,2899,45,34,0.9637764705552,0.768358945846558,0.0549499988555908,0.713408946990967,0.768358945846558
adultsample,5,2900,2999,45,34,0.95364244249132,0.758877277374268,0.0563430786132812,0.702534198760986,0.758877277374268
adultsample,5,3000,3015,0,0,0,0.0260548591613769,0.0179395675659179,0.0081152915954589,0.0260548591613769
adultsample,5,1100,1199,45,31,0.951722860336304,0.731104373931885,0.0551118850708007,0.675992488861084,0.731104373931885
adultsample,5,1200,1299,45,31,0.947760698530409,0.749007940292358,0.054189920425415,0.694818019866943,0.749007940292358
adultsample,5,1300,1399,45,32,0.949168051613702,0.741238594055176,0.0601375102996826,0.681101083755493,0.741238594055176
adultsample,5,1400,1499,45,35,0.948260940445794,0.816946744918823,0.0579748153686523,0.758971929550171,0.816946744918823
adultsample,5,1500,1599,45,31,0.943894553184509,0.770526170730591,0.0619032382965087,0.708622932434082,0.770526170730591
adultsample,5,1600,1699,45,37,0.947878195179833,0.771516561508179,0.0564601421356201,0.715056419372559,0.771516561508179
adultsample,5,1700,1799,45,33,0.948131234116024,0.776916980743408,0.0558092594146728,0.721107721328735,0.776916980743408
adultsample,10,0,999,900,621,0.940818484889136,12.6885480880737,0.58202862739563,12.1065194606781,12.6885480880737
adultsample,10,1800,1899,90,54,0.944600401322047,1.23462557792664,0.0552260875701904,1.17939949035645,1.23462557792664
adultsample,10,1900,1999,90,67,0.948596736457613,1.26566171646118,0.0564007759094238,1.20926094055176,1.26566171646118
adultsample,10,2000,2099,90,66,0.94766034550137,1.21827125549316,0.058138370513916,1.16013288497925,1.21827125549316
adultsample,10,2100,2199,90,65,0.953846285740534,1.24938368797302,0.0541048049926757,1.19527888298035,1.24938368797302
adultsample,10,2200,2299,90,61,0.950513150956896,1.22572588920593,0.0546619892120361,1.1710638999939,1.22572588920593
adultsample,10,2300,2399,90,59,0.949101773235533,1.2608687877655,0.0529899597167968,1.20787882804871,1.2608687877655
adultsample,10,2400,2499,90,65,0.949892459313075,1.24013996124268,0.0577692985534668,1.18237066268921,1.24013996124268
adultsample,10,2500,2599,90,66,0.947748970985413,1.24933385848999,0.0561692714691162,1.19316458702087,1.24933385848999
adultsample,10,2600,2699,90,66,0.948631478680505,1.2438051700592,0.0524969100952148,1.19130825996399,1.2438051700592
adultsample,10,2700,2799,90,59,0.948408594396379,1.16913890838623,0.0600993633270263,1.1090395450592,1.16913890838623
adultsample,10,1000,1099,90,70,0.946460512611601,1.24980187416077,0.0593113899230957,1.19049048423767,1.24980187416077
adultsample,10,2800,2899,90,64,0.955767486492793,1.20862793922424,0.0550551414489746,1.15357279777527,1.20862793922424
adultsample,10,2900,2999,90,63,0.954231489366955,1.23839783668518,0.0532636642456054,1.18513417243958,1.23839783668518
adultsample,10,3000,3015,9,5,0.963391085465749,0.176507234573364,0.0189199447631835,0.157587289810181,0.176507234573364
adultsample,10,1100,1199,90,60,0.945455802149243,1.20446491241455,0.0496635437011718,1.15480136871338,1.20446491241455
adultsample,10,1200,1299,90,61,0.944433794418971,1.23809313774109,0.0545227527618408,1.18357038497925,1.23809313774109
adultsample,10,1300,1399,90,67,0.941752753655116,1.21718668937683,0.057225227355957,1.15996146202087,1.21718668937683
