dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_fixed,imputation_time_IPM_70_30_fixed,total_time_IPM_70_30_fixed,exact_matches_IPM_70_30,avg_semantic_sim_IPM_70_30_fixed
adultsample,5,94,0,999,450,68.41348282999999,0.8133379550000086,69.226820785,289,0.8914099335670471
adultsample,5,94,1000,1099,45,68.41348282999999,0.3883730899999591,68.80185591999995,36,0.9183648228645325
adultsample,5,94,1100,1199,45,68.41348282999999,0.1530895300000168,68.56657236000001,39,0.9524549841880798
adultsample,5,94,1200,1299,45,68.41348282999999,0.6304998050000279,69.04398263500002,28,0.8653485774993896
adultsample,5,94,1300,1399,45,68.41348282999999,0.8845990550000522,69.29808188500004,26,0.8852446675300598
adultsample,5,94,1400,1499,45,68.41348282999999,0.2219279550000408,68.63541078500003,29,0.8999608755111694
adultsample,5,94,1500,1599,45,68.41348282999999,0.9918046379999907,69.40528746799998,27,0.8732722401618958
adultsample,5,94,1600,1699,45,68.41348282999999,0.5139175879999414,68.92740041799993,28,0.8813431859016418
adultsample,5,94,1700,1799,45,68.41348282999999,0.44137687900001765,68.85485970900001,25,0.8471543192863464
adultsample,5,94,1800,1899,45,68.41348282999999,0.7407880250000289,69.15427085500002,28,0.8791280388832092
adultsample,5,94,1900,1999,45,68.41348282999999,0.4396250409999709,68.85310787099996,34,0.9276139140129089
adultsample,5,94,2000,2099,45,68.41348282999999,0.9265539739999724,69.34003680399996,33,0.9022513628005981
adultsample,5,94,2100,2199,45,68.41348282999999,1.330911829999991,69.74439465999998,35,0.9217824339866638
adultsample,5,94,2200,2299,45,68.41348282999999,1.0315718709999828,69.44505470099998,34,0.9207016825675964
adultsample,5,94,2300,2399,45,68.41348282999999,0.514751025999999,68.92823385599999,29,0.883547842502594
adultsample,5,94,2400,2499,45,68.41348282999999,0.5115009649999536,68.92498379499995,30,0.8865331411361694
adultsample,5,94,2500,2599,45,68.41348282999999,0.3017677180000078,68.715250548,32,0.9053136706352234
adultsample,5,94,2600,2699,45,68.41348282999999,0.595346540999941,69.00882937099993,32,0.8936735391616821
adultsample,5,94,2700,2799,45,68.41348282999999,1.030180849000061,69.44366367900005,32,0.908543586730957
adultsample,5,94,2800,2899,45,68.41348282999999,0.4277908810000497,68.84127371100004,26,0.8759929537773132
adultsample,5,94,2900,2999,45,68.41348282999999,0.2245071960000189,68.63799002600001,32,0.9133300185203552
adultsample,5,94,3000,3015,0,68.41348282999999,0.0,68.41348282999999,0,0.0
adultsample,10,94,0,999,900,65.49686710400019,2.1984443269998906,67.69531143100008,570,0.8863624334335327
adultsample,10,94,1000,1099,90,65.49686710400019,0.5792197290001013,66.07608683300029,66,0.893308699131012
adultsample,10,94,1100,1199,90,65.49686710400019,0.8833323169998835,66.38019942100007,71,0.9286707639694214
adultsample,10,94,1200,1299,90,65.49686710400019,0.999816366999994,66.49668347100018,57,0.8759588003158569
adultsample,10,94,1300,1399,90,65.49686710400019,1.391955181999947,66.88882228600013,58,0.8954915404319763
adultsample,10,94,1400,1499,90,65.49686710400019,1.1168893540000795,66.61375645800027,61,0.9015988111495972
adultsample,10,94,1500,1599,90,65.49686710400019,1.3134650040000224,66.81033210800021,56,0.8773213624954224
adultsample,10,94,1600,1699,90,65.49686710400019,0.5512619250000057,66.0481290290002,60,0.8957225680351257
adultsample,10,94,1700,1799,90,65.49686710400019,0.7359901440001408,66.23285724800033,54,0.8760882019996643
adultsample,10,94,1800,1899,90,65.49686710400019,1.0721607219999783,66.56902782600017,54,0.8731614947319031
adultsample,10,94,1900,1999,90,65.49686710400019,1.054438154999957,66.55130525900015,59,0.892306387424469
adultsample,10,94,2000,2099,90,65.49686710400019,0.6964284020000377,66.19329550600023,62,0.8961564898490906
adultsample,10,94,2100,2199,90,65.49686710400019,1.1134702039999524,66.61033730800014,67,0.9135855436325073
adultsample,10,94,2200,2299,90,65.49686710400019,1.8995241570000871,67.39639126100028,63,0.8968298435211182
adultsample,10,94,2300,2399,90,65.49686710400019,2.024395462999962,67.52126256700015,53,0.8804860711097717
adultsample,10,94,2400,2499,90,65.49686710400019,2.037856163000015,67.5347232670002,63,0.8967577219009399
adultsample,10,94,2500,2599,90,65.49686710400019,2.2593012710000266,67.75616837500021,63,0.9032584428787231
adultsample,10,94,2600,2699,90,65.49686710400019,2.2775631570000314,67.77443026100022,63,0.8974047303199768
adultsample,10,94,2700,2799,90,65.49686710400019,1.0345857149999347,66.53145281900012,67,0.9202187657356262
adultsample,10,94,2800,2899,90,65.49686710400019,1.11579638500001,66.6126634890002,57,0.8942208290100098
adultsample,10,94,2900,2999,90,65.49686710400019,0.8411391499998899,66.33800625400008,58,0.8926056027412415
adultsample,10,94,3000,3015,9,65.49686710400019,0.13769142599988982,65.63455853000008,8,0.9687080383300781
adultsample,20,94,0,999,1800,60.799367029999814,3.266535478000037,64.06590250799985,1101,0.8812347650527954
adultsample,20,94,1000,1099,180,60.799367029999814,0.9367826170000626,61.73614964699988,119,0.8862411975860596
adultsample,20,94,1100,1199,180,60.799367029999814,1.0186567949999699,61.818023824999784,123,0.9072927236557007
adultsample,20,94,1200,1299,180,60.799367029999814,0.9397053000003552,61.73907233000017,116,0.8889747262001038
adultsample,20,94,1300,1399,180,60.799367029999814,1.1404103420001093,61.939777371999924,108,0.8885013461112976
adultsample,20,94,1400,1499,180,60.799367029999814,1.4116331070001706,62.211000136999985,112,0.8858397006988525
adultsample,20,94,1500,1599,180,60.799367029999814,1.0836894559998882,61.8830564859997,108,0.8803095817565918
adultsample,20,94,1600,1699,180,60.799367029999814,1.2694878970002037,62.06885492700002,109,0.8840540647506714
adultsample,20,94,1700,1799,180,60.799367029999814,1.1336199219997525,61.93298695199957,99,0.8618451356887817
adultsample,20,94,1800,1899,180,60.799367029999814,1.4759341649998987,62.27530119499971,101,0.8683284521102905
adultsample,20,94,1900,1999,180,60.799367029999814,0.9825531749999072,61.78192020499972,111,0.892238199710846
adultsample,20,94,2000,2099,180,60.799367029999814,1.0216736850002235,61.82104071500004,116,0.8880325555801392
adultsample,20,94,2100,2199,180,60.799367029999814,0.9171020520001321,61.716469081999946,111,0.8810833692550659
adultsample,20,94,2200,2299,180,60.799367029999814,0.6778923959999474,61.47725942599976,116,0.8948215246200562
adultsample,20,94,2300,2399,180,60.799367029999814,0.6003345639999225,61.39970159399974,111,0.8781713247299194
adultsample,20,94,2400,2499,180,60.799367029999814,0.5901029629999357,61.38946999299975,117,0.8969403505325317
adultsample,20,94,2500,2599,180,60.799367029999814,0.5883116199997858,61.3876786499996,115,0.8859938383102417
adultsample,20,94,2600,2699,180,60.799367029999814,1.4996161349998829,62.2989831649997,117,0.8869086503982544
adultsample,20,94,2700,2799,180,60.799367029999814,1.9769621540000344,62.77632918399985,126,0.904723048210144
adultsample,20,94,2800,2899,180,60.799367029999814,2.2886078039998665,63.08797483399968,119,0.8932839632034302
adultsample,20,94,2900,2999,180,60.799367029999814,2.497754840000084,63.2971218699999,113,0.8902764320373535
adultsample,20,94,3000,3015,27,60.799367029999814,1.6475510149999764,62.44691804499979,18,0.8798945546150208
adultsample,40,94,0,999,3600,52.36303846800001,4.4375048509999715,56.800543318999985,2138,0.8728582859039307
adultsample,40,94,1000,1099,360,52.36303846800001,1.0500141009998742,53.41305256899989,225,0.872837483882904
adultsample,40,94,1100,1199,360,52.36303846800001,0.7827605700001641,53.14579903800018,227,0.8898729085922241
adultsample,40,94,1200,1299,360,52.36303846800001,0.8048605169999519,53.167898984999965,220,0.879742443561554
adultsample,40,94,1300,1399,360,52.36303846800001,0.5823226820001537,52.94536115000017,221,0.8815236687660217
adultsample,40,94,1400,1499,360,52.36303846800001,0.7070099100000107,53.070048378000024,223,0.8835659027099609
adultsample,40,94,1500,1599,360,52.36303846800001,1.1614287639998793,53.52446723199989,207,0.8707208037376404
adultsample,40,94,1600,1699,360,52.36303846800001,0.6746865599998273,53.03772502799984,221,0.8826064467430115
adultsample,40,94,1700,1799,360,52.36303846800001,0.6397639379998736,53.00280240599989,205,0.8609333038330078
adultsample,40,94,1800,1899,360,52.36303846800001,1.2471697300001097,53.61020819800012,210,0.8669115900993347
adultsample,40,94,1900,1999,360,52.36303846800001,0.8142980989999842,53.177336567,216,0.8815051913261414
adultsample,40,94,2000,2099,360,52.36303846800001,0.9260290299999951,53.28906749800001,218,0.8722363710403442
adultsample,40,94,2100,2199,360,52.36303846800001,0.6263672769999857,52.989405745,223,0.87965989112854
adultsample,40,94,2200,2299,360,52.36303846800001,0.5462293170002113,52.909267785000225,226,0.8816258907318115
adultsample,40,94,2300,2399,360,52.36303846800001,1.0902223879998019,53.453260855999815,230,0.881271243095398
adultsample,40,94,2400,2499,360,52.36303846800001,0.6806802739999966,53.04371874200001,215,0.8813685178756714
adultsample,40,94,2500,2599,360,52.36303846800001,0.5596834939999553,52.92272196199997,231,0.8864416480064392
adultsample,40,94,2600,2699,360,52.36303846800001,0.735494605000099,53.09853307300011,222,0.8745836019515991
adultsample,40,94,2700,2799,360,52.36303846800001,1.0415573559998847,53.4045958239999,228,0.8761903047561646
adultsample,40,94,2800,2899,360,52.36303846800001,0.627204299999903,52.990242767999916,232,0.8878303170204163
adultsample,40,94,2900,2999,360,52.36303846800001,0.7116028849998202,53.07464135299983,231,0.8882676959037781
adultsample,40,94,3000,3015,54,52.36303846800001,0.40068766999979744,52.76372613799981,33,0.8650264739990234
