dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_fixed,imputation_time_IPM_70_30_fixed,total_time_IPM_70_30_fixed,exact_matches_IPM_70_30,avg_semantic_sim_IPM_70_30_fixed
contraceptive,5,94,0,490,192,24.617756930999985,1.3385715630000021,25.956328493999987,137,0.9144384264945984
contraceptive,5,94,491,539,16,24.617756930999985,1.5034619250000105,26.121218855999995,10,0.8618525266647339
contraceptive,5,94,540,588,16,24.617756930999985,1.280397714000003,25.898154644999988,9,0.8657826781272888
contraceptive,5,94,589,637,16,24.617756930999985,1.6003095430000087,26.218066473999993,12,0.9286110401153564
contraceptive,5,94,638,686,16,24.617756930999985,1.4089667659999918,26.026723696999976,10,0.862413763999939
contraceptive,5,94,687,735,16,24.617756930999985,1.411469690000004,26.02922662099999,12,0.9135167002677917
contraceptive,5,94,736,784,16,24.617756930999985,1.6198760320000076,26.237632962999992,11,0.9079065322875977
contraceptive,5,94,785,833,16,24.617756930999985,1.5767489630000142,26.194505894,9,0.8509202599525452
contraceptive,5,94,834,882,16,24.617756930999985,0.8660805480000704,25.483837479000055,11,0.8845434188842773
contraceptive,5,94,883,931,16,24.617756930999985,1.0025640510000358,25.62032098200002,6,0.815345048904419
contraceptive,5,94,932,980,16,24.617756930999985,1.4683770579999873,26.086133988999972,10,0.8799259662628174
contraceptive,5,94,981,1029,16,24.617756930999985,1.8373137130000146,26.455070644,9,0.8764723539352417
contraceptive,5,94,1030,1078,16,24.617756930999985,1.2346108250000043,25.85236775599999,12,0.9131233096122742
contraceptive,5,94,1079,1127,16,24.617756930999985,1.2919942850000155,25.909751216,12,0.9104224443435669
contraceptive,5,94,1128,1176,16,24.617756930999985,1.7731964099999686,26.390953340999953,12,0.9280946254730225
contraceptive,5,94,1177,1225,16,24.617756930999985,1.4504381869999747,26.06819511799996,14,0.9479079246520996
contraceptive,5,94,1226,1274,16,24.617756930999985,1.0915342060000057,25.70929113699999,9,0.8709217309951782
contraceptive,5,94,1275,1323,16,24.617756930999985,1.107931940000043,25.725688871000028,11,0.8845490217208862
contraceptive,5,94,1324,1372,16,24.617756930999985,1.3076521640000465,25.92540909500003,7,0.8271975517272949
contraceptive,5,94,1373,1421,16,24.617756930999985,1.3455804440000065,25.96333737499999,8,0.8178818225860596
contraceptive,5,94,1422,1470,16,24.617756930999985,1.3090678130000128,25.926824743999997,9,0.8577470779418945
contraceptive,5,94,1471,1472,0,24.617756930999985,0.0,24.617756930999985,0,0.0
contraceptive,10,94,0,490,392,22.664124901999998,2.0912621580000064,24.755387060000004,271,0.9082421660423279
contraceptive,10,94,491,539,32,22.664124901999998,1.5589657710000893,24.223090673000087,19,0.8734742999076843
