dataset,pct_nulls,start_index,end_index,seed,nulls,training_time_IPM_70_30,imputation_time_IPM_70_30,total_time_IPM_70_30_fixed,exact_matches_IPM_70_30,avg_semantic_sim_IPM_70_30_fixed
australian,5,0,229,1234,99,18.365321048,0.673196868999995,19.038517917,62,0.906868696212769
australian,5,230,252,1234,9,18.365321048,0.127045817999985,18.492366866,5,0.886563718318939
australian,5,253,275,1234,9,18.365321048,0.137239494000013,18.502560542,4,0.86373907327652
australian,5,276,298,1234,9,18.365321048,0.129043471999992,18.49436452,4,0.84132719039917
australian,5,299,321,1234,9,18.365321048,0.140065715000006,18.505386763,6,0.935964822769165
australian,5,322,344,1234,9,18.365321048,0.130282388000026,18.495603436,4,0.852471828460693
australian,5,345,367,1234,9,18.365321048,0.125694389000003,18.491015437,6,0.890461266040802
australian,5,368,390,1234,9,18.365321048,0.127584551999988,18.4929056,7,0.914819538593292
australian,5,391,413,1234,9,18.365321048,0.129040647000025,18.494361695,5,0.861292541027069
australian,5,414,436,1234,9,18.365321048,0.124155199000015,18.489476247,6,0.914327442646027
australian,5,437,459,1234,9,18.365321048,0.135593169999993,18.500914218,7,0.954858064651489
australian,5,460,482,1234,9,18.365321048,0.136728018000014,18.502049066,5,0.906489491462708
australian,5,483,505,1234,9,18.365321048,0.124751085000014,18.490072133,4,0.850784420967102
australian,5,506,528,1234,9,18.365321048,0.141381769999981,18.506702818,6,0.931960225105286
australian,5,529,551,1234,9,18.365321048,0.134011765999986,18.499332814,8,0.978814005851746
australian,5,552,574,1234,9,18.365321048,0.123055906000019,18.488376954,4,0.855833530426025
australian,5,575,597,1234,9,18.365321048,0.156159979000009,18.521481027,5,0.883831381797791
australian,5,598,620,1234,9,18.365321048,0.125347142999971,18.490668191,8,0.968538403511047
australian,5,621,643,1234,9,18.365321048,0.14711873200001,18.51243978,5,0.914173364639282
australian,5,644,666,1234,9,18.365321048,0.145568769000008,18.510889817,5,0.912009060382843
australian,5,667,689,1234,9,18.365321048,0.129066241999979,18.49438729,5,0.895708084106445
australian,10,0,229,1234,207,17.238322699,1.13474352099999,18.3730662199999,123,0.894206881523132
australian,10,230,252,1234,18,17.238322699,1.03779604999994,18.2761187489999,11,0.898241341114044
australian,10,253,275,1234,18,17.238322699,1.22182953599997,18.4601522349999,10,0.887918889522553
australian,10,276,298,1234,18,17.238322699,1.29709218099993,18.5354148799999,11,0.89410126209259
australian,10,299,321,1234,18,17.238322699,1.525390004,18.763712703,12,0.925566017627716
australian,10,322,344,1234,18,17.238322699,1.27682737499998,18.5151500739999,9,0.881622970104218
australian,10,345,367,1234,18,17.238322699,1.67133610200003,18.909658801,9,0.879863679409027
australian,10,368,390,1234,18,17.238322699,1.40829440300001,18.646617102,13,0.920492947101593
australian,10,391,413,1234,18,17.238322699,1.19315158100002,18.43147428,8,0.854328215122223
australian,10,414,436,1234,18,17.238322699,1.47333466499998,18.7116573639999,11,0.901731908321381
australian,10,437,459,1234,18,17.238322699,1.65558653900001,18.893909238,14,0.956004440784454
australian,10,460,482,1234,18,17.238322699,1.40391297200003,18.642235671,12,0.926733255386353
australian,10,483,505,1234,18,17.238322699,0.766298585000044,18.004621284,11,0.891796112060547
australian,10,506,528,1234,18,17.238322699,1.00348390900001,18.241806608,10,0.909241497516632
australian,10,529,551,1234,18,17.238322699,1.469068282,18.7073909809999,12,0.924262583255768
australian,10,552,574,1234,18,17.238322699,2.15244070200004,19.390763401,9,0.872784733772278
australian,10,575,597,1234,18,17.238322699,1.34977727200001,18.588099971,13,0.931504130363464
australian,10,598,620,1234,18,17.238322699,1.38594542700002,18.624268126,10,0.883374929428101
australian,10,621,643,1234,18,17.238322699,0.90933433899994,18.1476570379999,12,0.932373464107513
australian,10,644,666,1234,18,17.238322699,0.822030710999997,18.0603534099999,13,0.944184839725494
australian,10,667,689,1234,18,17.238322699,1.17110172000002,18.409424419,9,0.882565200328827
australian,20,0,229,1234,414,15.9544092570001,0.620837931999915,16.575247189,236,0.892454624176025
australian,20,230,252,1234,36,15.9544092570001,0.497885740000072,16.4522949970002,17,0.865200817584992
australian,20,253,275,1234,36,15.9544092570001,1.29939326299996,17.2538025200001,24,0.917145550251007
australian,20,276,298,1234,36,15.9544092570001,0.71377425899999,16.6681835160001,21,0.883729755878449
australian,20,299,321,1234,36,15.9544092570001,0.516080009999996,16.4704892670001,24,0.926068544387817
australian,20,322,344,1234,36,15.9544092570001,0.174176467999985,16.1285857250001,17,0.87319678068161
australian,20,345,367,1234,36,15.9544092570001,0.908216256000003,16.8626255130001,16,0.870734691619873
australian,20,368,390,1234,36,15.9544092570001,1.14764099399991,17.102050251,24,0.905440866947174
australian,20,391,413,1234,36,15.9544092570001,0.431999581999946,16.3864088390001,14,0.846200823783875
australian,20,414,436,1234,36,15.9544092570001,0.868892385000095,16.8233016420002,23,0.904517292976379
australian,20,437,459,1234,36,15.9544092570001,0.931476518999943,16.8858857760001,23,0.92544025182724
australian,20,460,482,1234,36,15.9544092570001,0.604340529999945,16.5587497870001,28,0.947616159915924
australian,20,483,505,1234,36,15.9544092570001,1.16767576399997,17.1220850210001,15,0.84471207857132
australian,20,506,528,1234,36,15.9544092570001,0.678370389999998,16.6327796470001,21,0.897168934345245
australian,20,529,551,1234,36,15.9544092570001,0.938033920000066,16.8924431770002,20,0.896674275398254
australian,20,552,574,1234,36,15.9544092570001,0.792891725000004,16.7473009820001,18,0.877358138561249
australian,20,575,597,1234,36,15.9544092570001,0.668366461999938,16.6227757190001,23,0.904877781867981
australian,20,598,620,1234,36,15.9544092570001,0.383866298999919,16.338275556,21,0.887814104557037
australian,20,621,643,1234,36,15.9544092570001,0.604243480000037,16.5586527370002,25,0.932500183582306
australian,20,644,666,1234,36,15.9544092570001,0.461194978000094,16.4156042350002,23,0.924859583377838
australian,20,667,689,1234,36,15.9544092570001,0.647165153000003,16.6015744100001,18,0.868118405342102
australian,40,0,229,1234,828,14.005884499,1.47895635500009,15.4848408540001,504,0.89909815788269
australian,40,230,252,1234,81,14.005884499,0.181581690999849,14.1874661899999,37,0.862802386283875
australian,40,253,275,1234,81,14.005884499,0.768846983000117,14.7747314820002,57,0.925238728523254
australian,40,276,298,1234,81,14.005884499,0.946370534000039,14.9522550330001,43,0.873898267745972
australian,40,299,321,1234,81,14.005884499,0.638127898999926,14.644012398,55,0.924091041088104
australian,40,322,344,1234,81,14.005884499,0.794753925000123,14.8006384240002,49,0.897484660148621
australian,40,345,367,1234,81,14.005884499,0.347665121999967,14.353549621,44,0.89475691318512
australian,40,368,390,1234,81,14.005884499,0.190073926000082,14.1959584250001,53,0.90436452627182
australian,40,391,413,1234,81,14.005884499,1.04179944800023,15.0476839470003,48,0.895133197307587
australian,40,414,436,1234,81,14.005884499,0.37543409400007,14.3813185930001,45,0.888052105903626
australian,40,437,459,1234,81,14.005884499,1.32639273300026,15.3322772320003,55,0.916846752166748
australian,40,460,482,1234,81,14.005884499,0.215020644000219,14.2209051430003,53,0.919489741325378
australian,40,483,505,1234,81,14.005884499,0.252553375000048,14.2584378740001,43,0.873698472976685
australian,40,506,528,1234,81,14.005884499,0.488248770999689,14.4941332699997,49,0.906907081604004
australian,40,529,551,1234,81,14.005884499,0.14694903200018,14.1528335310002,51,0.904883563518524
australian,40,552,574,1234,81,14.005884499,1.67868854899984,15.6845730479999,47,0.890751421451569
australian,40,575,597,1234,81,14.005884499,0.649373926999942,14.655258426,48,0.894858300685883
australian,40,598,620,1234,81,14.005884499,0.332369721999839,14.3382542209999,52,0.906901597976685
australian,40,621,643,1234,81,14.005884499,0.281444566000005,14.2873290650001,50,0.913252830505371
australian,40,644,666,1234,81,14.005884499,0.362114512999938,14.367999012,51,0.918614506721497
australian,40,667,689,1234,81,14.005884499,0.80111645299985,14.8070009519999,53,0.911938786506653
