dataset,start_index,end_index,pct_nulls,seed,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,nulls,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
adultsample,0,999,5,1234,61.360186673,0.817986517000005,62.17817319,450,303,0.904730260372162
adultsample,1000,1099,5,1234,69.250369742,0.323571304000041,69.573941046,45,31,0.896941661834717
adultsample,1100,1199,5,1234,75.0696153859998,0.671997367000017,75.7416127529999,45,30,0.88114607334137
adultsample,1200,1299,5,1234,81.6346793759999,0.381920338999748,82.0165997149996,45,29,0.881861567497253
adultsample,1300,1399,5,1234,87.978114951,0.504017213000111,88.4821321640001,45,34,0.932228446006775
adultsample,1400,1499,5,1234,94.3772248510001,0.262675770000101,94.6399006210002,45,33,0.92304801940918
adultsample,1500,1599,5,1234,99.4876909549998,0.751313060999792,100.239004016,45,34,0.909870743751526
adultsample,1600,1699,5,1234,106.203638071,0.8021808040005,107.005818875001,45,40,0.968596696853638
adultsample,1700,1799,5,1234,112.002156089,1.96632395500046,113.968480044001,45,34,0.919629096984863
adultsample,1800,1899,5,1234,118.385973647,0.608702705999804,118.994676353,45,34,0.929804861545563
adultsample,1900,1999,5,1234,124.753081369,0.522766140000158,125.275847509,45,32,0.92114132642746
adultsample,2000,2099,5,1234,131.102981393,0.751432806000139,131.854414199,45,34,0.90704607963562
adultsample,2100,2199,5,1234,137.408411902,1.59176115900027,139.000173061,45,30,0.908843398094177
adultsample,2200,2299,5,1234,144.020894885,0.313593033000416,144.334487918,45,36,0.930140852928162
adultsample,2300,2399,5,1234,149.260221799,1.0473998489997,150.307621647999,45,29,0.898874521255493
adultsample,2400,2499,5,1234,155.603005205999,1.23811412399982,156.841119329999,45,32,0.906467139720917
adultsample,2500,2599,5,1234,162.039678759,0.716856127999563,162.756534887,45,33,0.917220413684845
adultsample,2600,2699,5,1234,167.911009595001,0.456422981000287,168.367432576001,45,35,0.929610788822174
adultsample,2700,2799,5,1234,174.442837822,1.28663617399934,175.729473995999,45,29,0.903918027877808
adultsample,2800,2899,5,1234,180.991848542001,0.702385153000705,181.694233695001,45,34,0.924344062805176
adultsample,2900,2999,5,1234,187.487870613001,0.644828167999094,188.132698781,45,36,0.935495376586914
adultsample,3000,3015,5,1234,187.913985470002,0.000631604999398405,187.914617075001,0,0,0
adultsample,0,999,10,1234,58.538046945002,1.66435135799929,60.2023983030012,900,583,0.895884513854981
adultsample,1000,1099,10,1234,68.5201651950001,0.652973569000096,69.1731387640002,90,57,0.883306980133057
adultsample,1100,1199,10,1234,74.994482307,0.555807672999436,75.5502899799994,90,55,0.878943085670471
adultsample,1200,1299,10,1234,81.392684063002,0.161030021002262,81.5537140840042,90,59,0.889976382255554
adultsample,1300,1399,10,1234,87.8850614880012,0.444015492999824,88.329076981001,90,64,0.913621187210083
adultsample,1400,1499,10,1234,93.5826399969992,0.656136248001531,94.2387762450007,90,58,0.893653571605682
adultsample,1500,1599,10,1234,99.689811293998,0.852455887999895,100.542267181998,90,59,0.902928173542023
adultsample,1600,1699,10,1234,105.948793307001,1.2837051839997,107.232498491001,90,61,0.903702139854431
adultsample,1700,1799,10,1234,112.151599766,0.164312996001172,112.315912762001,90,69,0.937621831893921
adultsample,1800,1899,10,1234,118.410661564001,0.823982118000458,119.234643682002,90,60,0.899413764476776
adultsample,1900,1999,10,1234,124.847735786001,0.236153883000043,125.083889669001,90,68,0.927007675170898
adultsample,2000,2099,10,1234,131.186016371001,0.709452144999887,131.895468516001,90,64,0.906770527362824
adultsample,2100,2199,10,1234,137.671564325998,0.24753364299886,137.919097968997,90,66,0.929423868656158
adultsample,2200,2299,10,1234,143.279864638001,0.585757715001819,143.865622353002,90,68,0.916132986545563
adultsample,2300,2399,10,1234,149.224015970002,0.331128138999702,149.555144109002,90,60,0.905921816825867
adultsample,2400,2499,10,1234,155.747766289999,0.522003812001458,156.269770102001,90,63,0.904684245586395
adultsample,2500,2599,10,1234,161.649381463998,0.674026752998543,162.323408216997,90,64,0.911788940429688
adultsample,2600,2699,10,1234,168.143950575,0.722276626000166,168.866227201,90,66,0.905166208744049
adultsample,2700,2799,10,1234,174.612275375998,0.798533019001297,175.410808395,90,63,0.912085473537445
adultsample,2800,2899,10,1234,181.195801165,0.564880329000516,181.760681494001,90,65,0.921832621097565
adultsample,2900,2999,10,1234,187.530909068001,0.715765879999708,188.246674948001,90,64,0.907830238342285
adultsample,3000,3015,10,1234,188.371943471999,0.124001304999183,188.495944776998,9,8,0.99399334192276
adultsample,0,999,20,1234,54.3628284300012,2.68371826000111,57.0465466900023,1800,1113,0.881462693214417
adultsample,1000,1099,20,1234,68.3871381230019,0.297512702003587,68.6846508250055,180,109,0.871000587940216
adultsample,1100,1199,20,1234,74.7567154710032,0.623476684002526,75.3801921550057,180,118,0.888283729553223
adultsample,1200,1299,20,1234,80.5449665280048,0.83444573899942,81.3794122670042,180,116,0.884524047374725
adultsample,1300,1399,20,1234,86.9133492159999,0.25592226500703,87.1692714810069,180,117,0.888204574584961
adultsample,1400,1499,20,1234,93.4049604949996,0.867321695994178,94.2722821909938,180,114,0.892472267150879
adultsample,1500,1599,20,1234,99.3045780489956,2.29364256999725,101.598220618993,180,116,0.893486976623535
adultsample,1600,1699,20,1234,105.669080070003,1.24521653600459,106.914296606008,180,113,0.8876091837883
adultsample,1700,1799,20,1234,111.869191822996,1.07563413499884,112.944825957995,180,113,0.889345288276672
