dataset,pct_nulls,start_index,end_index,seed,nulls,training_time_IPM_70_30,imputation_time_IPM_70_30,total_time_IPM_70_30_fixed,exact_matches_IPM_70_30,avg_semantic_sim_IPM_70_30_fixed
imdb,5,0,1509,1234,675,81.698180301,0.98312676200004,82.6813070630001,241,0.810308516025543
imdb,5,1510,1660,1234,63,81.698180301,0.749048768000051,82.4472290690001,23,0.805634081363678
imdb,5,1661,1811,1234,63,81.698180301,0.212723449999999,81.910903751,22,0.797816395759583
imdb,5,1812,1962,1234,63,81.698180301,0.438341740999988,82.136522042,21,0.800882458686829
imdb,5,1963,2113,1234,63,81.698180301,0.307749238000071,82.0059295390001,27,0.826624572277069
imdb,5,2114,2264,1234,63,81.698180301,0.886530887000021,82.584711188,18,0.785706639289856
imdb,5,2265,2415,1234,63,81.698180301,0.451599402999932,82.149779704,22,0.799865543842316
imdb,5,2416,2566,1234,63,81.698180301,0.34874190299999,82.046922204,24,0.820597946643829
imdb,5,2567,2717,1234,63,81.698180301,0.231991416999961,81.930171718,19,0.780223548412323
imdb,5,2718,2868,1234,63,81.698180301,0.519668760000002,82.217849061,21,0.792425215244293
imdb,5,2869,3019,1234,63,81.698180301,1.11753468600006,82.8157149870001,21,0.804549932479858
imdb,5,3020,3170,1234,63,81.698180301,0.447789537999995,82.145969839,18,0.788543283939362
imdb,5,3171,3321,1234,63,81.698180301,0.420725370999946,82.118905672,20,0.786355972290039
imdb,5,3322,3472,1234,63,81.698180301,0.792983909000014,82.49116421,16,0.771648287773132
imdb,5,3473,3623,1234,63,81.698180301,0.615444367000009,82.313624668,17,0.786093473434448
imdb,5,3624,3774,1234,63,81.698180301,0.507724419000056,82.2059047200001,19,0.785351872444153
imdb,5,3775,3925,1234,63,81.698180301,0.176505735000006,81.874686036,19,0.771115362644196
imdb,5,3926,4076,1234,63,81.698180301,0.20963705199992,81.9078173529999,17,0.767055749893189
imdb,5,4077,4227,1234,63,81.698180301,0.171679019999971,81.869859321,20,0.793748676776886
imdb,5,4228,4378,1234,63,81.698180301,0.364550892999972,82.062731194,19,0.7813720703125
imdb,5,4379,4528,1234,63,81.698180301,0.256841342000001,81.955021643,18,0.779742896556854
imdb,10,0,1509,1234,1359,77.474577521,1.76287970899989,79.2374572299999,486,0.811912655830383
imdb,10,1510,1660,1234,135,77.474577521,0.737409379999974,78.211986901,47,0.810930013656616
imdb,10,1661,1811,1234,135,77.474577521,0.322921126999972,77.797498648,46,0.815018713474274
imdb,10,1812,1962,1234,135,77.474577521,0.729137320999996,78.203714842,43,0.79933774471283
imdb,10,1963,2113,1234,135,77.474577521,0.210490581999977,77.685068103,51,0.816538691520691
imdb,10,2114,2264,1234,135,77.474577521,0.502040696000051,77.9766182170001,41,0.788955569267273
imdb,10,2265,2415,1234,135,77.474577521,0.552112213999919,78.026689735,44,0.795599818229675
imdb,10,2416,2566,1234,135,77.474577521,0.227717159999997,77.702294681,46,0.808990657329559
imdb,10,2567,2717,1234,135,77.474577521,0.633561781999958,78.108139303,42,0.788135290145874
imdb,10,2718,2868,1234,135,77.474577521,0.377648612000087,77.8522261330001,42,0.778622984886169
imdb,10,2869,3019,1234,135,77.474577521,0.296157549000043,77.7707350700001,46,0.812847197055817
imdb,10,3020,3170,1234,135,77.474577521,0.779840967000098,78.2544184880001,41,0.79399049282074
imdb,10,3171,3321,1234,135,77.474577521,0.322315400999969,77.796892922,47,0.80111289024353
imdb,10,3322,3472,1234,135,77.474577521,0.587248783999996,78.061826305,38,0.784485757350922
imdb,10,3473,3623,1234,135,77.474577521,0.302766242000018,77.7773437630001,39,0.782744348049164
imdb,10,3624,3774,1234,135,77.474577521,0.623954290000029,78.0985318110001,39,0.782638192176819
imdb,10,3775,3925,1234,135,77.474577521,0.214975706999951,77.689553228,39,0.779059529304504
imdb,10,3926,4076,1234,135,77.474577521,0.846674643000085,78.3212521640001,38,0.778723061084747
imdb,10,4077,4227,1234,135,77.474577521,0.903841933000024,78.3784194540001,40,0.787514209747315
imdb,10,4228,4378,1234,135,77.474577521,0.349095496000075,77.8236730170001,36,0.778627753257752
imdb,10,4379,4528,1234,135,77.474577521,0.224184449999996,77.698761971,39,0.777445018291473
imdb,20,0,1509,1234,2718,70.3817301649999,4.41709958599972,74.7988297509996,974,0.80375063419342
imdb,20,1510,1660,1234,270,70.3817301649999,0.35211314199978,70.7338433069997,96,0.802024066448212
imdb,20,1661,1811,1234,270,70.3817301649999,0.370201523999981,70.7519316889999,93,0.800317466259003
imdb,20,1812,1962,1234,270,70.3817301649999,0.367324268999823,70.7490544339997,90,0.793575704097748
imdb,20,1963,2113,1234,270,70.3817301649999,0.517381336999961,70.8991115019999,99,0.807698309421539
imdb,20,2114,2264,1234,270,70.3817301649999,0.467302797000002,70.8490329619999,82,0.779808640480042
imdb,20,2265,2415,1234,270,70.3817301649999,0.350368313999866,70.7320984789998,89,0.789593577384949
imdb,20,2416,2566,1234,270,70.3817301649999,0.414456770000015,70.7961869349999,91,0.796148419380188
imdb,20,2567,2717,1234,270,70.3817301649999,0.42327468499991,70.8050048499998,86,0.784098982810974
imdb,20,2718,2868,1234,270,70.3817301649999,0.797431215999723,71.1791613809996,86,0.786321043968201
imdb,20,2869,3019,1234,270,70.3817301649999,0.382494521000126,70.764224686,91,0.802089631557465
imdb,20,3020,3170,1234,270,70.3817301649999,0.391341469999929,70.7730716349998,82,0.779170989990234
imdb,20,3171,3321,1234,270,70.3817301649999,0.416763410000044,70.798493575,91,0.79522579908371
imdb,20,3322,3472,1234,270,70.3817301649999,0.615321401000074,70.997051566,78,0.774286389350891
imdb,20,3473,3623,1234,270,70.3817301649999,0.70168496600013,71.083415131,81,0.781932055950165
imdb,20,3624,3774,1234,270,70.3817301649999,0.571092128000146,70.9528222930001,81,0.774548888206482
imdb,20,3775,3925,1234,270,70.3817301649999,0.529321899000024,70.9110520639999,79,0.773549854755402
imdb,20,3926,4076,1234,270,70.3817301649999,0.407147655000244,70.7888778200002,78,0.770707726478577
