dataset,pct_nulls,start_index,end_index,seed,nulls,training_time_IPM_70_30,imputation_time_IPM_70_30,total_time_IPM_70_30_fixed,exact_matches_IPM_70_30,avg_semantic_sim_IPM_70_30_fixed
credit,5,0,217,1234,100,18.168243134,0.543884219999981,18.712127354,69,0.935250401496887
credit,5,218,239,1234,10,18.168243134,0.143097750999985,18.311340885,9,0.975273907184601
credit,5,240,261,1234,10,18.168243134,0.138231575999981,18.30647471,7,0.923381805419922
credit,5,262,283,1234,10,18.168243134,0.136957603000013,18.305200737,5,0.877881467342377
credit,5,284,305,1234,10,18.168243134,0.135858416999966,18.304101551,5,0.882754027843475
credit,5,306,327,1234,10,18.168243134,0.13465871199999,18.302901846,4,0.847838878631592
credit,5,328,349,1234,10,18.168243134,0.134108835999982,18.30235197,5,0.882324814796448
credit,5,350,371,1234,10,18.168243134,0.134027631999984,18.302270766,2,0.82894766330719
credit,5,372,393,1234,10,18.168243134,0.133683334000011,18.301926468,5,0.875829875469208
credit,5,394,415,1234,10,18.168243134,0.136356981000006,18.304600115,5,0.874288260936737
credit,5,416,437,1234,10,18.168243134,0.141320877000013,18.309564011,4,0.844605624675751
credit,5,438,459,1234,10,18.168243134,0.143837738999977,18.312080873,7,0.905664145946503
credit,5,460,481,1234,10,18.168243134,0.137672574999996,18.305915709,7,0.955701172351837
credit,5,482,503,1234,10,18.168243134,0.143442652999994,18.311685787,5,0.903410911560059
credit,5,504,525,1234,10,18.168243134,0.142735067999993,18.310978202,5,0.864852726459503
credit,5,526,547,1234,10,18.168243134,0.144859213000018,18.313102347,7,0.928914189338684
credit,5,548,569,1234,10,18.168243134,0.145414717000023,18.313657851,8,0.956902623176575
credit,5,570,591,1234,10,18.168243134,0.146671077000036,18.314914211,3,0.843959450721741
credit,5,592,613,1234,10,18.168243134,0.144027571000009,18.312270705,7,0.923396110534668
credit,5,614,635,1234,10,18.168243134,0.142795143000001,18.311038277,4,0.854583740234375
credit,5,636,652,1234,0,18.168243134,0,18.168243134,0,0
credit,10,0,217,1234,210,17.253133914,1.15692353800009,18.4100574520001,140,0.926844894886017
credit,10,218,239,1234,20,17.253133914,1.48299839699999,18.736132311,13,0.927195012569428
credit,10,240,261,1234,20,17.253133914,0.941762771999976,18.194896686,13,0.907786190509796
credit,10,262,283,1234,20,17.253133914,1.16213878300005,18.4152726970001,7,0.847682952880859
credit,10,284,305,1234,20,17.253133914,1.05604725900002,18.309181173,12,0.894125401973724
credit,10,306,327,1234,20,17.253133914,1.31378515400002,18.566919068,8,0.867742717266083
credit,10,328,349,1234,20,17.253133914,1.155755263,18.408889177,10,0.877273738384247
credit,10,350,371,1234,20,17.253133914,1.08860032300007,18.3417342370001,7,0.849668145179749
credit,10,372,393,1234,20,17.253133914,1.32158728400003,18.5747211980001,8,0.85319310426712
credit,10,394,415,1234,20,17.253133914,1.16142783999996,18.414561754,10,0.877053737640381
credit,10,416,437,1234,20,17.253133914,1.43683030899993,18.6899642229999,10,0.855339050292969
credit,10,438,459,1234,20,17.253133914,1.23865549299993,18.4917894069999,13,0.900631129741669
credit,10,460,481,1234,20,17.253133914,0.709718813999984,17.962852728,11,0.912217736244202
credit,10,482,503,1234,20,17.253133914,0.673232088999981,17.926366003,12,0.915076673030853
credit,10,504,525,1234,20,17.253133914,1.412463411,18.665597325,10,0.865757584571838
credit,10,526,547,1234,20,17.253133914,1.133664259,18.386798173,14,0.929013431072235
credit,10,548,569,1234,20,17.253133914,0.977176824000026,18.230310738,17,0.962370693683624
credit,10,570,591,1234,20,17.253133914,1.37111650699995,18.624250421,9,0.87336653470993
credit,10,592,613,1234,20,17.253133914,1.19506749599998,18.44820141,11,0.891306698322296
credit,10,614,635,1234,20,17.253133914,0.909616841999934,18.162750756,10,0.869515538215637
credit,10,636,652,1234,10,17.253133914,0.142715132000092,17.3958490460001,5,0.874394834041596
credit,20,0,217,1234,430,16.0067752080001,0.778306993000115,16.7850822010003,291,0.92783534526825
credit,20,218,239,1234,40,16.0067752080001,0.558048457000041,16.5648236650002,27,0.926211178302765
credit,20,240,261,1234,40,16.0067752080001,0.486509327000078,16.4932845350002,26,0.916423320770264
credit,20,262,283,1234,40,16.0067752080001,1.13166394699999,17.1384391550001,14,0.850253283977509
credit,20,284,305,1234,40,16.0067752080001,0.552048321999962,16.5588235300001,17,0.86396598815918
credit,20,306,327,1234,40,16.0067752080001,1.18775348000008,17.1945286880002,17,0.875823974609375
credit,20,328,349,1234,40,16.0067752080001,0.62005718599994,16.6268323940001,17,0.867247045040131
credit,20,350,371,1234,40,16.0067752080001,0.338802595999994,16.3455778040001,12,0.839954793453217
credit,20,372,393,1234,40,16.0067752080001,0.622250913000016,16.6290261210002,16,0.856558978557587
credit,20,394,415,1234,40,16.0067752080001,0.818613286999891,16.825388495,19,0.878755748271942
credit,20,416,437,1234,40,16.0067752080001,1.01090930300001,17.0176845110001,18,0.861779808998108
credit,20,438,459,1234,40,16.0067752080001,1.12559135500004,17.1323665630002,22,0.888600170612335
credit,20,460,481,1234,40,16.0067752080001,1.07078795399997,17.0775631620001,20,0.89253181219101
credit,20,482,503,1234,40,16.0067752080001,0.480600531000107,16.4873757390002,26,0.926364898681641
credit,20,504,525,1234,40,16.0067752080001,0.530422125000087,16.5371973330002,19,0.860156238079071
credit,20,526,547,1234,40,16.0067752080001,0.771736146999956,16.7785113550001,28,0.932699203491211
