dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_fixed,imputation_time_IPM_70_30_fixed,total_time_IPM_70_30_fixed,exact_matches_IPM_70_30,avg_semantic_sim_IPM_70_30_fixed
contraceptive,5,584,0,490,192,24.79606975799998,1.3795338879999974,26.175603645999978,130,0.9027778506278992
contraceptive,5,584,491,539,16,24.79606975799998,1.0891641059999415,25.88523386399992,10,0.8837913870811462
contraceptive,5,584,540,588,16,24.79606975799998,1.611740348000012,26.407810105999992,10,0.8722894191741943
contraceptive,5,584,589,637,16,24.79606975799998,1.3973471649999283,26.19341692299991,13,0.930053174495697
contraceptive,5,584,638,686,16,24.79606975799998,1.1658929129999933,25.961962670999974,13,0.92426598072052
contraceptive,5,584,687,735,16,24.79606975799998,1.6847969830000125,26.480866740999993,8,0.8432390093803406
contraceptive,5,584,736,784,16,24.79606975799998,1.515181713999965,26.311251471999945,11,0.9079065322875977
contraceptive,5,584,785,833,16,24.79606975799998,1.4871275960000219,26.283197354000002,9,0.8545199036598206
contraceptive,5,584,834,882,16,24.79606975799998,1.3779737339999656,26.174043491999946,9,0.8643262386322021
contraceptive,5,584,883,931,16,24.79606975799998,1.3844194159999859,26.180489173999966,8,0.8658768534660339
contraceptive,5,584,932,980,16,24.79606975799998,1.3149719989999937,26.111041756999974,8,0.8831265568733215
contraceptive,5,584,981,1029,16,24.79606975799998,1.678936613000019,26.475006371,8,0.8557238578796387
contraceptive,5,584,1030,1078,16,24.79606975799998,1.1413360730000761,25.937405831000056,12,0.9130487442016602
contraceptive,5,584,1079,1127,16,24.79606975799998,1.6148783520000052,26.410948109999985,13,0.9447619318962097
contraceptive,5,584,1128,1176,16,24.79606975799998,1.778350113000016,26.574419870999996,10,0.9059433937072754
contraceptive,5,584,1177,1225,16,24.79606975799998,1.3818022150000218,26.177871973000002,11,0.9122663140296936
contraceptive,5,584,1226,1274,16,24.79606975799998,1.408787732999997,26.204857490999977,10,0.8627359867095947
contraceptive,5,584,1275,1323,16,24.79606975799998,1.285381663999999,26.08145142199998,11,0.9032540321350098
contraceptive,5,584,1324,1372,16,24.79606975799998,0.953223979000029,25.74929373700001,10,0.8776888847351074
contraceptive,5,584,1373,1421,16,24.79606975799998,1.1878604409999696,25.98393019899995,11,0.9017502665519714
contraceptive,5,584,1422,1470,16,24.79606975799998,1.5820553849999897,26.37812514299997,10,0.888430655002594
contraceptive,5,584,1471,1472,0,24.79606975799998,0.0,24.79606975799998,0,0.0
contraceptive,10,584,0,490,392,22.685776315999988,1.9482319290000305,24.634008245000018,259,0.8999535441398621
contraceptive,10,584,491,539,32,22.685776315999988,1.1909033950000207,23.87667971100001,16,0.8561158776283264
contraceptive,10,584,540,588,32,22.685776315999988,1.2564845080000282,23.942260824000016,18,0.8593119382858276
