file,pct_nulls,start_index,end_index,nulls,exact_matches_SENTI,avg_semantic_sim_SENTI,processing_time_SENTI,faiss_time_SENTI,imputation_time_SENTI,total_time_SENTI
contraceptive_1_5_584_imputed.csv,5,0,490,192,133,0.95573098367701,4.80076694488525,1.47267508506775,3.32809185981751,4.80076694488525
contraceptive_10_5_584_imputed.csv,5,883,931,16,9,0.965142618864775,0.335192203521729,0.0256104469299316,0.309581756591797,0.335192203521729
contraceptive_11_5_584_imputed.csv,5,932,980,16,6,0.962658174335957,0.340460300445557,0.024205207824707,0.31625509262085,0.340460300445557
contraceptive_12_5_584_imputed.csv,5,981,1029,16,9,0.966302964836359,0.327927112579346,0.0254976749420166,0.302429437637329,0.327927112579346
contraceptive_13_5_584_imputed.csv,5,1030,1078,16,12,0.96146397665143,0.33412504196167,0.0225489139556884,0.311576128005981,0.33412504196167
contraceptive_14_5_584_imputed.csv,5,1079,1127,16,11,0.959468193352222,0.326075315475464,0.0240204334259033,0.302054882049561,0.326075315475464
contraceptive_15_5_584_imputed.csv,5,1128,1176,16,10,0.969005588442087,0.32761812210083,0.0211572647094726,0.306460857391357,0.32761812210083
contraceptive_16_5_584_imputed.csv,5,1177,1225,16,12,0.968588262796402,0.331274271011353,0.0233027935028076,0.307971477508545,0.331274271011353
contraceptive_17_5_584_imputed.csv,5,1226,1274,16,10,0.964548531919718,0.328288555145264,0.0212948322296142,0.306993722915649,0.328288555145264
contraceptive_18_5_584_imputed.csv,5,1275,1323,16,10,0.966068793088198,0.3726646900177,0.0206906795501709,0.351974010467529,0.3726646900177
contraceptive_19_5_584_imputed.csv,5,1324,1372,16,9,0.971668180078268,0.387846946716309,0.0215256214141845,0.366321325302124,0.387846946716309
contraceptive_2_5_584_imputed.csv,5,491,539,16,8,0.947715736925602,0.328773021697998,0.0209269523620605,0.307846069335938,0.328773021697998
contraceptive_20_5_584_imputed.csv,5,1373,1421,16,10,0.966429341584444,0.33795952796936,0.0236213207244873,0.314338207244873,0.33795952796936
contraceptive_21_5_584_imputed.csv,5,1422,1470,16,9,0.965505991131067,0.366384267807007,0.024003267288208,0.342381000518799,0.366384267807007
contraceptive_22_5_584_imputed.csv,5,1471,1472,0,0,0,0.0286026000976562,0.0206258296966552,0.0079767704010009,0.0286026000976562
contraceptive_3_5_584_imputed.csv,5,540,588,16,11,0.956318974494934,0.334166526794434,0.0208148956298828,0.313351631164551,0.334166526794434
contraceptive_4_5_584_imputed.csv,5,589,637,16,12,0.968611616641283,0.329676628112793,0.0216221809387207,0.308054447174072,0.329676628112793
contraceptive_5_5_584_imputed.csv,5,638,686,16,12,0.957065988332033,0.327813625335693,0.021024465560913,0.30678915977478,0.327813625335693
contraceptive_6_5_584_imputed.csv,5,687,735,16,11,0.964871898293495,0.339052438735962,0.0214583873748779,0.317594051361084,0.339052438735962
contraceptive_7_5_584_imputed.csv,5,736,784,16,9,0.961281951516867,0.343116044998169,0.0235085487365722,0.319607496261597,0.343116044998169
contraceptive_8_5_584_imputed.csv,5,785,833,16,11,0.958679217845202,0.344222784042358,0.022721529006958,0.3215012550354,0.344222784042358
contraceptive_9_5_584_imputed.csv,5,834,882,16,8,0.968727614730596,0.339471817016602,0.020167589187622,0.31930422782898,0.339471817016602
contraceptive_1_10_584_imputed.csv,10,0,490,392,266,0.947943764529666,6.12076568603516,0.243054389953613,5.87771129608154,6.12076568603516
contraceptive_10_10_584_imputed.csv,10,883,931,32,15,0.960282811895013,0.52531099319458,0.020129919052124,0.505181074142456,0.52531099319458
contraceptive_11_10_584_imputed.csv,10,932,980,32,14,0.959063619375229,0.559005498886108,0.021341323852539,0.537664175033569,0.559005498886108
contraceptive_12_10_584_imputed.csv,10,981,1029,32,17,0.961654359474778,0.557052373886108,0.021331787109375,0.535720586776733,0.557052373886108
contraceptive_13_10_584_imputed.csv,10,1030,1078,32,20,0.955919051542878,0.555595397949219,0.0211696624755859,0.534425735473633,0.555595397949219
contraceptive_14_10_584_imputed.csv,10,1079,1127,32,23,0.959018163383007,0.496943950653076,0.0210633277893066,0.47588062286377,0.496943950653076
contraceptive_15_10_584_imputed.csv,10,1128,1176,32,21,0.961729649454355,0.500504016876221,0.0209665298461914,0.479537487030029,0.500504016876221
