dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_fixed,imputation_time_IPM_70_30_fixed,total_time_IPM_70_30_fixed,exact_matches_IPM_70_30,avg_semantic_sim_IPM_70_30_fixed
adultsample,5,1234,3000,3015,0,67.99945550300005,0.0,67.99945550300005,0,0.0
adultsample,10,1234,0,999,900,65.04252693100014,1.3853707869999994,66.42789771800014,588,0.895440399646759
adultsample,10,1234,1000,1099,90,65.04252693100014,0.3825686119999432,65.42509554300008,59,0.8877964019775391
adultsample,10,1234,1100,1199,90,65.04252693100014,0.36214459999996507,65.4046715310001,62,0.8969149589538574
adultsample,10,1234,1200,1299,90,65.04252693100014,0.22252744900004018,65.26505438000018,58,0.8831241130828857
adultsample,10,1234,1300,1399,90,65.04252693100014,0.20213045199983526,65.24465738299997,63,0.9212296009063721
adultsample,10,1234,1400,1499,90,65.04252693100014,0.33467723600000454,65.37720416700014,58,0.891637921333313
adultsample,10,1234,1500,1599,90,65.04252693100014,0.25231761699996014,65.2948445480001,60,0.9046196341514587
adultsample,10,1234,1600,1699,90,65.04252693100014,0.6322208459998819,65.67474777700002,60,0.900865375995636
adultsample,10,1234,1700,1799,90,65.04252693100014,0.35863052100000914,65.40115745200015,63,0.9185158610343933
adultsample,10,1234,1800,1899,90,65.04252693100014,0.2268916560000207,65.26941858700016,57,0.8926445245742798
adultsample,10,1234,1900,1999,90,65.04252693100014,0.20530376799996475,65.2478306990001,56,0.9022839069366455
adultsample,10,1234,2000,2099,90,65.04252693100014,0.27670957100002624,65.31923650200017,56,0.8862289786338806
adultsample,10,1234,2100,2199,90,65.04252693100014,0.18536113100003604,65.22788806200018,56,0.9024839997291565
adultsample,10,1234,2200,2299,90,65.04252693100014,0.20308119400004898,65.24560812500019,62,0.8999512791633606
adultsample,10,1234,2300,2399,90,65.04252693100014,0.3644656879999957,65.40699261900014,61,0.9076161980628967
adultsample,10,1234,2400,2499,90,65.04252693100014,0.2019685810000169,65.24449551200016,57,0.8839167356491089
adultsample,10,1234,2500,2599,90,65.04252693100014,0.25573961700001746,65.29826654800016,55,0.8846435546875
adultsample,10,1234,2600,2699,90,65.04252693100014,0.8605789429999504,65.90310587400009,58,0.8827950358390808
adultsample,10,1234,2700,2799,90,65.04252693100014,1.0122029900001053,66.05472992100024,58,0.8935777544975281
adultsample,10,1234,2800,2899,90,65.04252693100014,0.188509885999963,65.2310368170001,59,0.9072202444076538
adultsample,10,1234,2900,2999,90,65.04252693100014,0.3855277529999057,65.42805468400005,60,0.899877667427063
adultsample,10,1234,3000,3015,9,65.04252693100014,0.12561603100010643,65.16814296200025,6,0.9679275155067444
adultsample,20,1234,0,999,1800,60.484013613999934,2.6359485020000193,63.119962115999954,1124,0.8864716291427612
adultsample,20,1234,1000,1099,180,60.484013613999934,0.5963367840003002,61.080350398000235,110,0.8787492513656616
adultsample,20,1234,1100,1199,180,60.484013613999934,0.9213181339998755,61.40533174799981,119,0.8921444416046143
adultsample,20,1234,1200,1299,180,60.484013613999934,1.0948145710001427,61.57882818500008,114,0.8878688812255859
adultsample,20,1234,1300,1399,180,60.484013613999934,0.8825166030002265,61.36653021700016,116,0.8932488560676575
adultsample,20,1234,1400,1499,180,60.484013613999934,1.391245988000037,61.87525960199997,115,0.8955621719360352
adultsample,20,1234,1500,1599,180,60.484013613999934,0.7793026879999161,61.26331630199985,117,0.8986155390739441
adultsample,20,1234,1600,1699,180,60.484013613999934,0.8936928849999504,61.377706498999885,116,0.8941017389297485
adultsample,20,1234,1700,1799,180,60.484013613999934,1.1253904980001153,61.60940411200005,114,0.8930557370185852
adultsample,20,1234,1800,1899,180,60.484013613999934,0.6382116720000113,61.122225285999946,112,0.893989086151123
adultsample,20,1234,1900,1999,180,60.484013613999934,0.738784647999978,61.22279826199991,113,0.8886502981185913
adultsample,20,1234,2000,2099,180,60.484013613999934,0.841477958000155,61.32549157200009,117,0.8906366229057312
adultsample,20,1234,2100,2199,180,60.484013613999934,0.36866305700004887,60.85267667099998,110,0.8931781649589539
adultsample,20,1234,2200,2299,180,60.484013613999934,0.8395085399999971,61.32352215399993,118,0.8942129611968994
adultsample,20,1234,2300,2399,180,60.484013613999934,0.2742449269998133,60.75825854099975,119,0.8971689343452454
adultsample,20,1234,2400,2499,180,60.484013613999934,0.9626560789998848,61.44666969299982,114,0.8947353959083557
adultsample,20,1234,2500,2599,180,60.484013613999934,0.30682513999988714,60.79083875399982,112,0.8875826001167297
adultsample,20,1234,2600,2699,180,60.484013613999934,1.2583418140000049,61.74235542799994,113,0.8859161734580994
adultsample,20,1234,2700,2799,180,60.484013613999934,0.5306369270000459,61.01465054099998,113,0.8903161883354187
adultsample,20,1234,2800,2899,180,60.484013613999934,1.0898204529997884,61.57383406699972,119,0.9026278257369995
adultsample,20,1234,2900,2999,180,60.484013613999934,2.058493483999996,62.54250709799993,115,0.8932634592056274
adultsample,20,1234,3000,3015,27,60.484013613999934,1.1992064400001254,61.68322005400006,19,0.941445529460907
adultsample,40,1234,0,999,3600,52.20056355200006,5.135725338999919,57.33628889099998,2133,0.8724472522735596
adultsample,40,1234,1000,1099,360,52.20056355200006,1.4368738610000946,53.63743741300016,217,0.8716930747032166
adultsample,40,1234,1100,1199,360,52.20056355200006,1.317569674000083,53.518133226000145,221,0.8804677724838257
adultsample,40,1234,1200,1299,360,52.20056355200006,1.0447645710002007,53.24532812300026,227,0.8831182718276978
adultsample,40,1234,1300,1399,360,52.20056355200006,0.8587421479998056,53.05930569999987,209,0.86883544921875
adultsample,40,1234,1400,1499,360,52.20056355200006,1.1419018540001389,53.3424654060002,212,0.874562680721283
adultsample,40,1234,1500,1599,360,52.20056355200006,0.7820197700000335,52.982583322000096,222,0.8782340288162231
adultsample,40,1234,1600,1699,360,52.20056355200006,1.0354611099999147,53.23602466199998,204,0.8615248203277588
adultsample,40,1234,1700,1799,360,52.20056355200006,0.7460221829999227,52.946585734999985,210,0.8722507357597351
