dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_fixed,imputation_time_IPM_70_30_fixed,total_time_IPM_70_30_fixed,exact_matches_IPM_70_30,avg_semantic_sim_IPM_70_30_fixed
australian,5,94,0,229,99,18.755635278000018,0.9335293809999712,19.68916465899999,50,0.8804957270622253
australian,5,94,230,252,9,18.755635278000018,0.13169835399997964,18.887333631999997,8,0.9745292663574219
australian,5,94,253,275,9,18.755635278000018,0.1335019870000167,18.889137265000034,4,0.8737866878509521
australian,5,94,276,298,9,18.755635278000018,0.13225652599996351,18.88789180399998,6,0.9276843667030334
australian,5,94,299,321,9,18.755635278000018,0.13281946300003256,18.88845474100005,3,0.8526649475097656
australian,5,94,322,344,9,18.755635278000018,0.13058608400001503,18.886221362000033,7,0.9478409886360168
australian,5,94,345,367,9,18.755635278000018,0.1373254940000379,18.892960772000055,2,0.8277172446250916
australian,5,94,368,390,9,18.755635278000018,0.13212701399999105,18.88776229200001,7,0.9531551003456116
australian,5,94,391,413,9,18.755635278000018,0.13106575500006556,18.886701033000083,7,0.9576279520988464
australian,5,94,414,436,9,18.755635278000018,0.13352455599999757,18.889159834000015,8,0.9690271019935608
australian,5,94,437,459,9,18.755635278000018,0.13269489900000053,18.888330177000018,4,0.8622326850891113
australian,5,94,460,482,9,18.755635278000018,0.12962658799995097,18.88526186599997,3,0.852600634098053
australian,5,94,483,505,9,18.755635278000018,0.1332474219999824,18.8888827,5,0.8834070563316345
australian,5,94,506,528,9,18.755635278000018,0.1304645510000455,18.886099829000063,7,0.9526781439781189
australian,5,94,529,551,9,18.755635278000018,0.1297175869999876,18.885352865000005,4,0.8405834436416626
australian,5,94,552,574,9,18.755635278000018,0.13170999600004052,18.887345274000058,7,0.9480960965156555
australian,5,94,575,597,9,18.755635278000018,0.1322431649999487,18.887878442999966,5,0.9098888039588928
australian,5,94,598,620,9,18.755635278000018,0.1318417959999465,18.887477073999964,7,0.9332205653190613
australian,5,94,621,643,9,18.755635278000018,0.13251434999997969,18.888149627999997,8,0.9743412137031555
australian,5,94,644,666,9,18.755635278000018,0.13671667699998125,18.892351955,5,0.8767613172531128
australian,5,94,667,689,9,18.755635278000018,0.1352946339999619,18.89092991199998,5,0.8692752718925476
australian,10,94,0,229,207,17.28199663500007,0.5537705399999595,17.83576717500003,115,0.8882378935813904
australian,10,94,230,252,18,17.28199663500007,1.486874635999925,18.768871270999995,14,0.9427257180213928
australian,10,94,253,275,18,17.28199663500007,1.3078021780000313,18.5897988130001,11,0.9105694890022278
australian,10,94,276,298,18,17.28199663500007,1.695588591000046,18.977585226000116,13,0.9271036982536316
australian,10,94,299,321,18,17.28199663500007,1.439333956999917,18.721330591999987,7,0.87404465675354
australian,10,94,322,344,18,17.28199663500007,1.5220842759999869,18.804080911000057,12,0.9193647503852844
australian,10,94,345,367,18,17.28199663500007,1.3030334960000118,18.58503013100008,6,0.8498684167861938
australian,10,94,368,390,18,17.28199663500007,1.9345657510000365,19.216562386000106,12,0.9125626683235168
australian,10,94,391,413,18,17.28199663500007,1.4485701230000814,18.73056675800015,13,0.9371640086174011
australian,10,94,414,436,18,17.28199663500007,1.537084472999993,18.819081108000063,11,0.8884939551353455
australian,10,94,437,459,18,17.28199663500007,1.302690481999889,18.58468711699996,9,0.8623730540275574
australian,10,94,460,482,18,17.28199663500007,0.9195416570000248,18.201538292000095,7,0.8495180606842041
australian,10,94,483,505,18,17.28199663500007,1.481970368000077,18.763967003000147,10,0.8665153980255127
australian,10,94,506,528,18,17.28199663500007,1.4199216029999207,18.70191823799999,14,0.9506433606147766
australian,10,94,529,551,18,17.28199663500007,1.5922921549999955,18.874288790000065,11,0.896837055683136
australian,10,94,552,574,18,17.28199663500007,1.2572196990000748,18.539216334000145,15,0.9526363015174866
australian,10,94,575,597,18,17.28199663500007,1.880692434000025,19.162689069000095,10,0.886201024055481
australian,10,94,598,620,18,17.28199663500007,1.6935384989998852,18.975535133999955,11,0.8977267146110535
australian,10,94,621,643,18,17.28199663500007,1.0432991870000023,18.325295822000072,11,0.9061697125434875
australian,10,94,644,666,18,17.28199663500007,1.6156584379999686,18.89765507300004,11,0.884996235370636
australian,10,94,667,689,18,17.28199663500007,1.6367088819999935,18.918705517000063,12,0.9142953157424927
australian,20,94,0,229,414,16.19585422199981,1.0176577770000677,17.213511998999877,229,0.887613832950592
australian,20,94,230,252,36,16.19585422199981,1.0985155079998776,17.294369729999687,24,0.9121265411376953
australian,20,94,253,275,36,16.19585422199981,1.2308594290001338,17.426713650999943,21,0.9018598198890686
australian,20,94,276,298,36,16.19585422199981,0.9198367739999185,17.115690995999728,25,0.9215372204780579
australian,20,94,299,321,36,16.19585422199981,1.1472700589999931,17.343124280999803,17,0.8878185153007507
australian,20,94,322,344,36,16.19585422199981,1.1715649029999895,17.3674191249998,19,0.8837752342224121
australian,20,94,345,367,36,16.19585422199981,1.3231688039999199,17.51902302599973,16,0.8653424382209778
australian,20,94,368,390,36,16.19585422199981,0.6966353840000465,16.892489605999856,22,0.8978226184844971
australian,20,94,391,413,36,16.19585422199981,1.1229127730000528,17.318766994999862,23,0.9226364493370056
australian,20,94,414,436,36,16.19585422199981,0.7174810820002904,16.9133353040001,22,0.8940601348876953
australian,20,94,437,459,36,16.19585422199981,0.9577639829999498,17.15361820499976,21,0.8860357999801636
australian,20,94,460,482,36,16.19585422199981,1.0232924720000938,17.219146693999903,20,0.8960400819778442
australian,20,94,483,505,36,16.19585422199981,0.9363104550001253,17.132164676999935,20,0.8726591467857361
australian,20,94,506,528,36,16.19585422199981,1.3152969470000926,17.511151168999902,27,0.9399284720420837
australian,20,94,529,551,36,16.19585422199981,0.9860958289999644,17.181950050999774,20,0.8864560723304749
australian,20,94,552,574,36,16.19585422199981,0.8700857100001258,17.065939931999935,27,0.9359759092330933
australian,20,94,575,597,36,16.19585422199981,1.0037296879999076,17.199583909999717,21,0.8835212588310242
