dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
adultsample,5,94,0,999,450,61.89157466599998,1.1021845929999898,62.99375925899997,283,0.892918050289154
adultsample,5,94,1000,1099,45,69.83588118299994,0.42179723400013813,70.25767841700008,34,0.9114966988563538
adultsample,5,94,1100,1199,45,75.73699240500002,0.8035898359998441,76.54058224099987,38,0.9513200521469116
adultsample,5,94,1200,1299,45,81.79895764100007,0.5955494569999473,82.39450709800002,27,0.8597188591957092
adultsample,5,94,1300,1399,45,88.16648938200012,0.6158085200000869,88.78229790200021,29,0.9026219248771667
adultsample,5,94,1400,1499,45,94.49555675599993,0.5725555379996194,95.06811229399955,30,0.9028602242469788
adultsample,5,94,1500,1599,45,99.70572551000032,1.049348890000374,100.7550744000007,27,0.8876665234565735
adultsample,5,94,1600,1699,45,106.24745884599974,0.6412829300002159,106.88874177599996,30,0.9038395285606384
adultsample,5,94,1700,1799,45,112.06635418899941,1.0145819429997118,113.08093613199912,26,0.8795223236083984
adultsample,5,94,1800,1899,45,118.39322856900026,0.6609866460003104,119.05421521500057,27,0.8786690831184387
adultsample,5,94,1900,1999,45,124.93834776300037,0.8038437629991222,125.74219152599949,35,0.9403152465820312
adultsample,5,94,2000,2099,45,131.3622481809998,0.3427562230001513,131.70500440399996,34,0.9188917875289917
adultsample,5,94,2100,2199,45,137.54642648900062,0.3952782270005173,137.94170471600114,35,0.9264767169952393
adultsample,5,94,2200,2299,45,144.36399578200053,1.2997718510000595,145.6637676330006,36,0.9360541105270386
adultsample,5,94,2300,2399,45,149.54982763999942,1.5429175880012735,151.0927452280007,31,0.9025477170944214
adultsample,5,94,2400,2499,45,155.84282552499963,0.5820489930010808,156.4248745180007,32,0.9063822627067566
adultsample,5,94,2500,2599,45,161.79090986099982,0.8584928530017351,162.64940271400155,33,0.9136255383491516
adultsample,5,94,2600,2699,45,168.40323365900122,0.36776656800111596,168.77100022700233,33,0.9107730388641357
adultsample,5,94,2700,2799,45,174.5934140190002,0.8922962959986762,175.48571031499887,32,0.91530442237854
adultsample,5,94,2800,2899,45,181.23138971400022,0.3202522309993583,181.55164194499957,30,0.9052047729492188
adultsample,5,94,2900,2999,45,187.43706046799934,0.6172405130009793,188.05430098100032,32,0.9162153601646423
adultsample,5,94,3000,3015,0,187.95755204500165,0.0006955979997655959,187.9582476430014,0,0.0
adultsample,10,94,0,999,900,58.529758458998,1.879879412000264,60.40963787099827,568,0.8897262215614319
adultsample,10,94,1000,1099,90,68.74358259600012,1.7819376440011183,70.52552024000124,66,0.901656985282898
adultsample,10,94,1100,1199,90,75.20816807000028,1.0897572709991437,76.29792534099943,66,0.9256462454795837
adultsample,10,94,1200,1299,90,81.57386674899863,0.799069918000896,82.37293666699952,56,0.8842843174934387
adultsample,10,94,1300,1399,90,87.81556636600271,0.5455369480023364,88.36110331400505,66,0.9249482154846191
adultsample,10,94,1400,1499,90,93.81448925300174,0.9047069890002604,94.719196242002,62,0.9066169261932373
adultsample,10,94,1500,1599,90,100.24329670599855,1.0204454729991994,101.26374217899775,55,0.8758420348167419
adultsample,10,94,1600,1699,90,107.02860826099823,1.0380506469991815,108.06665890799741,62,0.9039707183837891
adultsample,10,94,1700,1799,90,113.01640246200168,0.18483604100038065,113.20123850300206,60,0.897213876247406
adultsample,10,94,1800,1899,90,118.79990831399937,0.7056856340004742,119.50559394799984,57,0.8922017812728882
adultsample,10,94,1900,1999,90,125.69836893100273,1.0304692049994628,126.7288381360022,63,0.911027729511261
adultsample,10,94,2000,2099,90,132.37108220500068,0.9109426530003475,133.28202485800102,67,0.9129869341850281
adultsample,10,94,2100,2199,90,138.38472575800006,0.6249437850010509,139.0096695430011,69,0.9208207130432129
adultsample,10,94,2200,2299,90,144.7262825120015,0.18665725799837674,144.91293976999987,71,0.9299741983413696
adultsample,10,94,2300,2399,90,150.16268439499981,1.2451453090016003,151.40782970400141,62,0.9139172434806824
adultsample,10,94,2400,2499,90,156.82925520299887,0.6599064219999491,157.48916162499881,66,0.9137358069419861
adultsample,10,94,2500,2599,90,162.95126456599974,0.1917181159969914,163.14298268199673,68,0.921558678150177
adultsample,10,94,2600,2699,90,169.30837479799993,1.506351756001095,170.81472655400103,66,0.9074325561523438
