dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
contraceptive,10,584,1422,1470,32,64.22468709700024,0.9391922739987422,65.16387937099898,19,0.888318657875061
contraceptive,10,584,1471,1472,0,64.63494594599979,0.00040932999945653137,64.63535527599925,0,0.0
contraceptive,20,584,0,490,784,18.530815835000794,1.809659515997737,20.34047535099853,504,0.895397424697876
contraceptive,20,584,491,539,72,23.53368143100124,0.19995228500192752,23.73363371600317,38,0.8516430258750916
contraceptive,20,584,540,588,72,25.847356166999816,0.6537568710000414,26.501113037999858,41,0.86927330493927
contraceptive,20,584,589,637,72,27.78143048400034,0.36648076200162905,28.147911246001968,53,0.927056610584259
contraceptive,20,584,638,686,72,30.047734284001308,1.2553410819991768,31.303075366000485,43,0.8519523739814758
contraceptive,20,584,687,735,72,32.318866266999066,0.710375338000631,33.0292416049997,42,0.8725160956382751
contraceptive,20,584,736,784,72,34.294185159000335,1.1425499150009273,35.43673507400126,46,0.886796236038208
contraceptive,20,584,785,833,72,36.43630707199918,1.1000697109984685,37.53637678299765,38,0.8400061726570129
contraceptive,20,584,834,882,72,38.789341963999505,1.9461585279987048,40.73550049199821,43,0.8630014061927795
contraceptive,20,584,883,931,72,40.881723885999236,0.3166050100007851,41.19832889600002,40,0.8583101630210876
contraceptive,20,584,932,980,72,43.15619585799868,0.9561604339996848,44.11235629199837,42,0.8683428168296814
contraceptive,20,584,981,1029,72,45.39887492499747,0.6378238609986511,46.03669878599612,40,0.8637686967849731
contraceptive,20,584,1030,1078,72,47.744725311000366,0.761640274002275,48.50636558500264,46,0.902447521686554
contraceptive,20,584,1079,1127,72,49.14395895799953,1.407722661000662,50.55168161900019,52,0.9242267608642578
contraceptive,20,584,1128,1176,72,51.314300094997634,0.4169954820017665,51.7312955769994,49,0.9092043042182922
contraceptive,20,584,1177,1225,72,53.597946403000606,1.068995712999822,54.66694211600043,55,0.929438591003418
contraceptive,20,584,1226,1274,72,55.50756596700012,0.7588113229985538,56.26637728999867,42,0.8613297939300537
contraceptive,20,584,1275,1323,72,57.853161920000275,0.698904557001697,58.55206647700197,47,0.8933814167976379
contraceptive,20,584,1324,1372,72,59.992931115999454,0.5905715780017999,60.583502694001254,40,0.8512585163116455
contraceptive,20,584,1373,1421,72,61.90445557499879,1.2441445219983507,63.14860009699714,45,0.8728086948394775
contraceptive,20,584,1422,1470,72,64.3808122520004,0.9088851229980719,65.28969737499847,43,0.8786540627479553
contraceptive,20,584,1471,1472,0,64.48472403299911,0.00044636100028583314,64.4851703939994,0,0.0
contraceptive,40,584,0,490,1568,15.000639615999717,2.5867850569993607,17.587424672999077,1002,0.8928239345550537
contraceptive,40,584,491,539,152,23.330987778000235,0.6855075610010317,24.016495339001267,86,0.8605381846427917
contraceptive,40,584,540,588,152,25.73277448400131,0.666483308998977,26.399257793000288,90,0.876290500164032
contraceptive,40,584,589,637,152,27.54737797800044,0.4091511790011282,27.95652915700157,93,0.8839511871337891
contraceptive,40,584,638,686,152,29.682175789998837,0.8309125709993168,30.513088360998154,86,0.8527317047119141
contraceptive,40,584,687,735,152,31.902662901999065,0.3778984720001972,32.28056137399926,83,0.8481318950653076
contraceptive,40,584,736,784,152,34.131421740000405,0.6214973270007249,34.75291906700113,93,0.8770858645439148
contraceptive,40,584,785,833,152,36.22888083900125,0.9056735080002909,37.13455434700154,79,0.8365733623504639
contraceptive,40,584,834,882,152,38.578574887003015,1.0279463160004525,39.60652120300347,92,0.8658120036125183
