dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
imdb,5,94,0,1509,675,73.56890416199995,1.9425961989999792,75.51150036099993,254,0.8104198575019836
imdb,5,94,1510,1660,63,83.55481226599986,1.1370001290000005,84.69181239499986,21,0.7911699414253235
imdb,5,94,1661,1811,63,90.925500151,0.6349781900000266,91.56047834100002,24,0.8134928345680237
imdb,5,94,1812,1962,63,98.61732615599993,0.7389962500000706,99.356322406,22,0.8046804070472717
imdb,5,94,1963,2113,63,106.33161059899953,0.7436017889998539,107.07521238799939,19,0.7899708151817322
imdb,5,94,2114,2264,63,114.06214740999974,0.895063893999918,114.95721130399966,22,0.7998331785202026
imdb,5,94,2265,2415,63,121.66395432699994,0.986649038000337,122.65060336500028,20,0.7932438850402832
imdb,5,94,2416,2566,63,128.87225496700034,1.9705089680005585,130.8427639350009,21,0.8103164434432983
imdb,5,94,2567,2717,63,136.4509558049997,0.9735013889999209,137.42445719399961,18,0.7700243592262268
imdb,5,94,2718,2868,63,143.9498008730004,1.6842145999999047,145.63401547300032,17,0.7780120372772217
imdb,5,94,2869,3019,63,151.68600054700005,0.5674128619996281,152.25341340899968,19,0.7856653928756714
imdb,5,94,3020,3170,63,159.5303712589989,2.119563606000611,161.64993486499952,23,0.8037949800491333
imdb,5,94,3171,3321,63,167.50054812000144,0.5695615670006191,168.07010968700206,24,0.8217828869819641
imdb,5,94,3322,3472,63,174.95262657399917,1.4288140619996739,176.38144063599884,23,0.8149526715278625
imdb,5,94,3473,3623,63,182.28335315399954,0.9016824560003442,183.1850356099999,21,0.8034699559211731
imdb,5,94,3624,3774,63,190.0847059899993,1.4938406100000066,191.5785465999993,22,0.80281662940979
imdb,5,94,3775,3925,63,197.44442775399875,1.2463329209999756,198.69076067499873,27,0.830833375453949
imdb,5,94,3926,4076,63,205.10404426700006,0.21103469799982122,205.31507896499988,23,0.8096977472305298
imdb,5,94,4077,4227,63,213.1819245669999,1.0283419629995478,214.21026652999944,23,0.8097488880157471
imdb,5,94,4228,4378,63,220.487881422001,1.3321691890000693,221.82005061100108,20,0.7908157110214233
imdb,5,94,4379,4528,63,227.6146481750011,0.9023128739981985,228.5169610489993,24,0.7993607521057129
imdb,10,94,0,1509,1359,69.83195374499974,2.55924008799866,72.3911938329984,502,0.8068656325340271
imdb,10,94,1510,1660,135,83.27980698400188,1.0760310259993275,84.35583801000121,46,0.7971639037132263
imdb,10,94,1661,1811,135,90.73441226999967,1.0142860379992271,91.7486983079989,48,0.8050391674041748
imdb,10,94,1812,1962,135,98.53077189999931,0.7389339120018121,99.26970581200112,45,0.7984556555747986
imdb,10,94,1963,2113,135,106.17186164199939,0.8286524240002109,107.0005140659996,45,0.7997936010360718
imdb,10,94,2114,2264,135,114.20634822699958,0.8217909100012548,115.02813913700084,47,0.7917426228523254
imdb,10,94,2265,2415,135,121.41041608399973,0.6338587920008649,122.0442748760006,45,0.7884926199913025
imdb,10,94,2416,2566,135,128.77895493600045,0.8466431790020579,129.6255981150025,45,0.7954208850860596
imdb,10,94,2567,2717,135,136.6522899440024,1.8358199129970671,138.48810985699947,40,0.7725956439971924
imdb,10,94,2718,2868,135,144.20690828799707,1.8134465520006415,146.0203548399977,38,0.7791956067085266
imdb,10,94,2869,3019,135,152.02951020400087,0.6628307480013973,152.69234095200227,44,0.7900472283363342
imdb,10,94,3020,3170,135,159.76389441800075,2.39165517100173,162.15554958900248,42,0.7782876491546631
imdb,10,94,3171,3321,135,167.1268079119991,1.8792607069990481,169.00606861899814,47,0.8088393211364746
imdb,10,94,3322,3472,135,174.68725128000005,2.0224941550004587,176.7097454350005,41,0.7864295244216919
