dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
imdb,5,584,0,1509,675,74.444698368,1.881849131999985,76.32654749999999,250,0.8101654648780823
imdb,5,584,1510,1660,63,83.87375058700005,0.8345442999999477,84.708294887,23,0.8117383718490601
imdb,5,584,1661,1811,63,91.03343284300007,0.5511430810000206,91.58457592400009,21,0.7778840065002441
imdb,5,584,1812,1962,63,98.52028167300011,0.5503640339999833,99.0706457070001,24,0.8089174032211304
imdb,5,584,1963,2113,63,106.243211385,0.2808164980001493,106.52402788300014,21,0.7944576144218445
imdb,5,584,2114,2264,63,114.11106462800012,0.5050794040001847,114.6161440320003,20,0.7891289591789246
imdb,5,584,2265,2415,63,121.46540123600028,1.0858791539997128,122.55128038999999,20,0.7984899878501892
imdb,5,584,2416,2566,63,128.77780300999962,0.9471004220006307,129.72490343200025,19,0.8017128109931946
imdb,5,584,2567,2717,63,136.63635321999982,1.1143288850000772,137.7506821049999,20,0.7941127419471741
imdb,5,584,2718,2868,63,144.06091185000014,1.3029845570001726,145.3638964070003,20,0.7864949107170105
imdb,5,584,2869,3019,63,151.71775194999987,0.9300558299999011,152.64780777999977,23,0.8060751557350159
imdb,5,584,3020,3170,63,159.745300025,1.0710828260000653,160.81638285100007,19,0.7707751393318176
imdb,5,584,3171,3321,63,167.46909182300033,1.1157032700002674,168.5847950930006,17,0.7624102830886841
imdb,5,584,3322,3472,63,174.59117627799924,0.4502716659994803,175.04144794399872,18,0.7742788195610046
imdb,5,584,3473,3623,63,182.23277855199967,0.9009542820003844,183.13373283400006,22,0.807938277721405
imdb,5,584,3624,3774,63,190.20660985899804,0.5546996549996948,190.76130951399773,19,0.7776814103126526
imdb,5,584,3775,3925,63,197.76131962200088,1.11943757400104,198.88075719600192,22,0.791475236415863
imdb,5,584,3926,4076,63,205.09977222999987,1.3224252199997863,206.42219744999966,19,0.7895072102546692
imdb,5,584,4077,4227,63,213.55902535299992,0.5929201369995099,214.15194548999943,24,0.8143631815910339
imdb,5,584,4228,4378,63,220.8271426139986,0.9057708119999006,221.7329134259985,18,0.7859490513801575
imdb,5,584,4379,4528,63,228.04351218100237,1.072401260001243,229.1159134410036,20,0.7809006571769714
imdb,10,584,0,1509,1359,69.88615645400023,4.989992334998533,74.87614878899876,504,0.805618941783905
imdb,10,584,1510,1660,135,83.366957172002,0.3947895729997981,83.7617467450018,49,0.8039398193359375
imdb,10,584,1661,1811,135,90.74534302700067,1.4502373080031248,92.1955803350038,42,0.7762528657913208
imdb,10,584,1812,1962,135,98.44614541800001,2.3444038940006067,100.79054931200062,48,0.8008595705032349
imdb,10,584,1963,2113,135,106.26822480700139,1.0167268670011254,107.28495167400251,45,0.7913074493408203
imdb,10,584,2114,2264,135,114.06475795400002,2.086829062999641,116.15158701699966,46,0.7897005081176758
imdb,10,584,2265,2415,135,121.29755830799968,0.8537237619993903,122.15128206999907,50,0.803525447845459
imdb,10,584,2416,2566,135,128.72791232200052,0.9780621720001363,129.70597449400066,45,0.7993233799934387
imdb,10,584,2567,2717,135,136.1627205950017,0.9493587409997417,137.11207933600144,42,0.7858340740203857
imdb,10,584,2718,2868,135,143.83924320000006,1.2720360729999811,145.11127927300004,44,0.7807419300079346
imdb,10,584,2869,3019,135,151.6652863040008,1.6730407060013022,153.3383270100021,48,0.7924042344093323
imdb,10,584,3020,3170,135,159.27476364099857,1.0232030369988934,160.29796667799747,41,0.762283205986023
imdb,10,584,3171,3321,135,166.59839498500241,1.9195452869998917,168.5179402720023,39,0.7758152484893799
imdb,10,584,3322,3472,135,174.7118449440004,1.3176716379994104,176.02951658199981,39,0.7643183469772339
imdb,10,584,3473,3623,135,182.31086750599843,0.8903349020010864,183.20120240799952,44,0.7877391576766968
imdb,10,584,3624,3774,135,189.45791065100002,2.632273726998392,192.0901843779984,49,0.797503650188446
imdb,10,584,3775,3925,135,198.14218693699786,1.2119743810008003,199.35416131799866,50,0.7959742546081543
imdb,10,584,3926,4076,135,205.81379096199544,1.3830659210052545,207.1968568830007,34,0.7603404521942139
imdb,10,584,4077,4227,135,212.27219588400294,1.3950737469949672,213.6672696309979,50,0.7999841570854187
imdb,10,584,4228,4378,135,219.8177344780015,3.20318166999823,223.02091614799974,46,0.7942131161689758
imdb,10,584,4379,4528,135,227.5785557299987,1.0652712849987438,228.64382701499744,46,0.7945557832717896
imdb,20,584,0,1509,2718,63.638011680997806,4.298296969003786,67.93630865000159,990,0.7926828265190125
imdb,20,584,1510,1660,270,82.6973613980008,1.085749071000464,83.78311046900126,99,0.7945263981819153
