file,pct_nulls,start_index,end_index,nulls,exact_matches_SENTI,avg_semantic_sim_SENTI,processing_time_SENTI,faiss_time_SENTI,imputation_time_SENTI,total_time_SENTI
australian_1_5_1234_imputed.csv,5,0,229,99,72,0.919264930667299,1.65270686149597,0.197343111038208,1.45536375045776,1.65270686149597
australian_10_5_1234_imputed.csv,5,414,436,9,4,0.922194374932183,0.159995317459106,0.0162768363952636,0.143718481063843,0.159995317459106
australian_11_5_1234_imputed.csv,5,437,459,9,7,0.930089811484019,0.183282852172852,0.0167617797851562,0.166521072387695,0.183282852172852
australian_12_5_1234_imputed.csv,5,460,482,9,5,0.934587942229377,0.160101413726807,0.0167624950408935,0.143338918685913,0.160101413726807
australian_13_5_1234_imputed.csv,5,483,505,9,6,0.921998633278741,0.173872947692871,0.0168454647064209,0.15702748298645,0.173872947692871
australian_14_5_1234_imputed.csv,5,506,528,9,6,0.920170618428124,0.177597999572754,0.0197067260742187,0.157891273498535,0.177597999572754
australian_15_5_1234_imputed.csv,5,529,551,9,8,0.925396303335826,0.16101861000061,0.0169992446899414,0.144019365310669,0.16101861000061
australian_16_5_1234_imputed.csv,5,552,574,9,5,0.924646920628018,0.179674386978149,0.0162904262542724,0.163383960723877,0.179674386978149
australian_17_5_1234_imputed.csv,5,575,597,9,6,0.921557823816935,0.163179159164429,0.0162842273712158,0.146894931793213,0.163179159164429
australian_18_5_1234_imputed.csv,5,598,620,9,6,0.922239495648278,0.188556909561157,0.0162231922149658,0.172333717346191,0.188556909561157
australian_19_5_1234_imputed.csv,5,621,643,9,8,0.9307778345214,0.158919095993042,0.0161612033843994,0.142757892608643,0.158919095993042
australian_2_5_1234_imputed.csv,5,230,252,9,4,0.921993063555823,0.165504932403564,0.0244057178497314,0.141099214553833,0.165504932403564
australian_20_5_1234_imputed.csv,5,644,666,9,6,0.929908759064145,0.174881458282471,0.0171737670898437,0.157707691192627,0.174881458282471
australian_21_5_1234_imputed.csv,5,667,689,9,6,0.923445343971252,0.181395053863525,0.0174753665924072,0.163919687271118,0.181395053863525
australian_3_5_1234_imputed.csv,5,253,275,9,4,0.931672698921628,0.177140712738037,0.0192344188690185,0.157906293869019,0.177140712738037
