dataset,pct_nulls,start_index,end_index,nulls,seed,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
australian,5,0,229,99,1234,16.875405195,0.197400007999999,17.072805203,58,0.899164617061615
australian,5,230,252,9,1234,17.590606285,0.148119455999975,17.738725741,5,0.886563718318939
australian,5,253,275,9,1234,19.4658164400001,0.129313892999988,19.5951303330001,5,0.884925127029419
australian,5,276,298,9,1234,20.4926574160001,0.13064276800003,20.6233001840001,5,0.862513303756714
australian,5,299,321,9,1234,22.4358876789999,0.131830006000087,22.567717685,6,0.935964822769165
australian,5,322,344,9,1234,23.599948024,0.133069312000032,23.733017336,4,0.852471828460693
australian,5,345,367,9,1234,24.7105017130001,0.124654300999794,24.8351560139999,4,0.848089218139648
australian,5,368,390,9,1234,26.7175622129997,0.126999029000103,26.8445612419998,5,0.872447371482849
australian,5,391,413,9,1234,27.9600773710002,0.134008897000058,28.0940862680003,3,0.818920433521271
australian,5,414,436,9,1234,30.2166231980001,0.12423032699985,30.3408535249999,6,0.914327442646027
australian,5,437,459,9,1234,31.1278051199999,0.138895676000288,31.2667007960002,6,0.933671951293945
australian,5,460,482,9,1234,33.62647093,0.135345961999747,33.7618168919997,6,0.927675545215607
australian,5,483,505,9,1234,34.080197442,0.129113367999821,34.2093108099998,5,0.871970474720001
australian,5,506,528,9,1234,35.5034173260001,0.135821701999703,35.6392390279998,6,0.931960225105286
australian,5,529,551,9,1234,37.3646445100001,0.137146886999744,37.5017913969998,7,0.957627952098846
australian,5,552,574,9,1234,38.5178405789995,0.137464115000057,38.6553046939996,3,0.834647476673126
australian,5,575,597,9,1234,40.6762140470003,0.133698802000254,40.8099128490005,6,0.90501743555069
australian,5,598,620,9,1234,41.5209873119998,0.133902586000204,41.654889898,6,0.926166355609894
australian,5,621,643,9,1234,44.3496649610004,0.137907383000083,44.4875723440005,6,0.935359418392181
australian,5,644,666,9,1234,44.7047579539997,0.135052895999934,44.8398108499996,5,0.890435755252838
australian,5,667,689,9,1234,46.0791284900006,0.131252610000274,46.2103811000009,7,0.938080132007599
australian,10,0,229,207,1234,15.0095145959997,0.293305456999633,15.3028200529993,116,0.887758910655975
australian,10,230,252,18,1234,17.3822242549995,0.189253825999685,17.5714780809992,10,0.887648344039917
australian,10,253,275,18,1234,19.3532511710002,0.360749091999651,19.7140002629999,10,0.887918889522553
australian,10,276,298,18,1234,20.4891914449986,0.209386014998927,20.6985774599975,12,0.904694378376007
australian,10,299,321,18,1234,22.2906674460005,0.158359406999807,22.4490268530003,12,0.925566017627716
australian,10,322,344,18,1234,23.5324063459998,0.220378705999337,23.7527850519991,10,0.892215967178345
australian,10,345,367,18,1234,24.6335516050012,0.128217445000246,24.7617690500015,9,0.879863679409027
australian,10,368,390,18,1234,26.6299335609997,0.156609222999577,26.7865427839993,13,0.920492947101593
australian,10,391,413,18,1234,27.8884519499998,0.130517857000086,28.0189698069999,7,0.843735158443451
australian,10,414,436,18,1234,30.0249189739993,0.161475856999459,30.1863948309988,13,0.922918140888214
australian,10,437,459,18,1234,31.0599687410008,0.411636794999595,31.4716055360004,14,0.956004440784454
australian,10,460,482,18,1234,33.0438392099995,0.150460459000442,33.194299669,13,0.937326312065125
australian,10,483,505,18,1234,34.2148572239989,0.178901151999071,34.393758375998,11,0.891796112060547
australian,10,506,528,18,1234,35.4463376039994,0.176308322998921,35.6226459269983,10,0.909241497516632
australian,10,529,551,18,1234,37.2174894290006,0.243014408998988,37.4605038379996,13,0.934855580329895
australian,10,552,574,18,1234,38.4159486200001,0.21438606899892,38.630334688999,9,0.872784733772278
australian,10,575,597,18,1234,40.4850801129992,0.142908185998294,40.6279882989975,13,0.931504130363464
australian,10,598,620,18,1234,41.3087323789987,0.617159440998876,41.9258918199976,11,0.893967926502228
australian,10,621,643,18,1234,44.1057520779996,0.370642327999576,44.4763944059991,13,0.942966461181641
australian,10,644,666,18,1234,44.5275831609993,0.133526126999641,44.6611092879989,11,0.912212193012238
australian,10,667,689,18,1234,45.9348208219999,0.206459402998917,46.1412802249988,12,0.914344251155853
australian,20,0,229,414,1234,14.2178600979992,0.722762597000383,14.9406226949995,239,0.893836438655853
australian,20,230,252,36,1234,17.2219980489995,0.179072899000403,17.4010709479999,21,0.886386811733246
