dataset,pct_nulls,start_index,end_index,nulls,seed,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
australian,40,230,252,81,1234,17.2689432779962,0.186443132000022,17.4553864099962,40,0.869864404201508
australian,40,253,275,81,1234,18.628284866998,0.304890516000341,18.9331753829983,54,0.918176710605621
australian,40,276,298,81,1234,20.3439404340024,0.299312723002004,20.6432531570044,45,0.878606379032135
australian,40,299,321,81,1234,21.8562004140022,0.175800366001567,22.0320007800037,49,0.909966945648193
australian,40,322,344,81,1234,23.6289866509997,0.252979987998515,23.8819666389982,50,0.899838745594025
australian,40,345,367,81,1234,24.5195666000009,0.658774618998905,25.1783412189998,46,0.899464905261993
australian,40,368,390,81,1234,26.624585003,0.188648742001533,26.8132337450015,50,0.897302508354187
australian,40,391,413,81,1234,27.8398453770014,0.165846789998795,28.0056921670002,43,0.883363127708435
australian,40,414,436,81,1234,29.2521779190001,0.162178468000093,29.4143563870002,51,0.902176260948181
australian,40,437,459,81,1234,30.790242211001,0.16668578000008,30.9569279910011,53,0.912138760089874
australian,40,460,482,81,1234,32.4431280469998,0.355270329998348,32.7983983769982,53,0.919489741325378
australian,40,483,505,81,1234,33.9090335190012,0.225504912999895,34.1345384320011,42,0.87134450674057
australian,40,506,528,81,1234,35.0299110920023,0.334025603001464,35.3639366950038,49,0.906907081604004
australian,40,529,551,81,1234,37.3568240320019,0.189528156997767,37.5463521889997,44,0.888405621051788
australian,40,552,574,81,1234,38.2526595429999,0.150392956998985,38.4030524999989,45,0.886043429374695
australian,40,575,597,81,1234,40.7531433350014,0.407781169000373,41.1609245040017,48,0.894858300685883
australian,40,598,620,81,1234,41.406939221999,0.18174258199997,41.588681803999,50,0.902193605899811
australian,40,621,643,81,1234,43.1200468410007,0.428298610999264,43.5483454519999,57,0.929730832576752
australian,40,644,666,81,1234,44.5071988769996,0.165204180000728,44.6724030570003,53,0.92332249879837
australian,40,667,689,81,1234,45.8248762320018,0.171587213001658,45.9964634450034,52,0.909584820270538
