dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_fixed,imputation_time_IPM_70_30_fixed,total_time_IPM_70_30_fixed,exact_matches_IPM_70_30,avg_semantic_sim_IPM_70_30_fixed
credit,20,94,438,459,40,16.0984319719999,1.2092434289999119,17.307675400999813,20,0.878801167011261
credit,20,94,460,481,40,16.0984319719999,1.3792455199999267,17.477677491999827,27,0.9326452612876892
credit,20,94,482,503,40,16.0984319719999,0.9666536939998878,17.06508566599979,29,0.9327918887138367
credit,20,94,504,525,40,16.0984319719999,1.238141738999957,17.336573710999858,22,0.8890209197998047
credit,20,94,526,547,40,16.0984319719999,1.223020116999919,17.32145208899982,30,0.9481424689292908
credit,20,94,548,569,40,16.0984319719999,0.7590208749999192,16.85745284699982,29,0.9408863186836243
credit,20,94,570,591,40,16.0984319719999,2.0421281689998523,18.140560140999753,19,0.8719890713691711
credit,20,94,592,613,40,16.0984319719999,0.8828744579997192,16.98130642999962,18,0.8657459616661072
credit,20,94,614,635,40,16.0984319719999,1.5983095140002206,17.69674148600012,20,0.8839929699897766
credit,20,94,636,652,30,16.0984319719999,0.7166126550001763,16.815044627000077,10,0.8365617990493774
credit,40,94,0,217,870,13.892555467999614,1.3389524870000287,15.231507954999643,593,0.9272391200065613
credit,40,94,218,239,80,13.892555467999614,1.6921545370000786,15.584710004999693,52,0.92364102602005
credit,40,94,240,261,80,13.892555467999614,1.7899639640000942,15.682519431999708,41,0.8801490664482117
credit,40,94,262,283,80,13.892555467999614,2.4369742810001753,16.32952974899979,34,0.8676628470420837
credit,40,94,284,305,80,13.892555467999614,1.9590822860001254,15.85163775399974,40,0.8758504986763
credit,40,94,306,327,80,13.892555467999614,2.1964962519998608,16.089051719999475,36,0.8743849992752075
credit,40,94,328,349,80,13.892555467999614,2.0292243339998777,15.921779801999492,40,0.8795108795166016
credit,40,94,350,371,80,13.892555467999614,2.1960485419998577,16.08860400999947,30,0.8528614044189453
credit,40,94,372,393,80,13.892555467999614,2.6353155099999412,16.527870977999555,37,0.8717945218086243
credit,40,94,394,415,80,13.892555467999614,1.3470621159998473,15.239617583999461,34,0.8601404428482056
credit,40,94,416,437,80,13.892555467999614,1.7316746740000326,15.624230141999647,38,0.867880642414093
credit,40,94,438,459,80,13.892555467999614,1.372457772999951,15.265013240999565,37,0.8748992085456848
credit,40,94,460,481,80,13.892555467999614,1.2935552779999853,15.1861107459996,55,0.9297899603843689
credit,40,94,482,503,80,13.892555467999614,1.2870130769996422,15.179568544999256,48,0.903886616230011
credit,40,94,504,525,80,13.892555467999614,0.5594071299999541,14.451962597999568,48,0.8998993039131165
credit,40,94,526,547,80,13.892555467999614,1.3823184629997058,15.27487393099932,59,0.9477136731147766
credit,40,94,548,569,80,13.892555467999614,1.7460277890000953,15.63858325699971,58,0.940342128276825
credit,40,94,570,591,80,13.892555467999614,1.641820811999878,15.534376279999492,39,0.8782507181167603
credit,40,94,592,613,80,13.892555467999614,1.3811002800000551,15.273655747999669,33,0.8577081561088562
credit,40,94,614,635,80,13.892555467999614,1.1306540529999438,15.023209520999558,37,0.8728660941123962
credit,40,94,636,652,60,13.892555467999614,1.8850300719998359,15.77758553999945,25,0.8572584986686707
